episode,step,env_step,total_time,episode_reward
1,0,0,0.12574148178100586,-1055.332886734798
2,200,200,20.967665672302246,-1352.5152695850863
3,400,400,51.80859732627869,-1626.5249335032472
4,600,600,82.87687706947327,-1669.3808674296074
5,800,800,113.52862095832825,-1306.6127157181786
6,1000,1000,145.01289558410645,-1054.750018193527
7,1200,1200,175.02143454551697,-992.3042758328719
8,1400,1400,205.30555701255798,-1189.7366708659902
9,1600,1600,236.50986289978027,-790.5200269697051
10,1800,1800,268.02571964263916,-0.6838867129836662
11,2000,2000,299.17812871932983,-363.14675992261385
12,2200,2200,331.21797227859497,-124.31549814793057
13,2400,2400,361.14406657218933,-365.8095072157619
14,2600,2600,392.5516769886017,-1.9652636029099402
15,2800,2800,424.7856478691101,-125.7708473104362
16,3000,3000,455.8982210159302,-128.10802322927617
17,3200,3200,486.64149475097656,-238.90941872784396
18,3400,3400,518.599442243576,-613.4729133305988
19,3600,3600,550.3526000976562,-237.99073501171486
20,3800,3800,582.2528021335602,-123.01638031748983
21,4000,4000,612.8481979370117,-242.77053560288155
22,4200,4200,645.5946624279022,-124.93316687308813
23,4400,4400,681.6793694496155,-127.54689140983807
24,4600,4600,720.8465423583984,-121.70496240427977
25,4800,4800,759.6912293434143,-0.8838284068705718
26,5000,5000,802.2779886722565,-126.35473431484445
27,5200,5200,847.0124459266663,-125.50640942777835
28,5400,5400,898.2351157665253,-355.1050162867979
29,5600,5600,949.2800886631012,-487.5987647883778
30,5800,5800,1001.8007063865662,-466.9180935626507
31,6000,6000,1054.8742909431458,-125.977072236612
32,6200,6200,1108.1797602176666,-563.205559605778
33,6400,6400,1162.6317267417908,-608.7170482892161
34,6600,6600,1217.052775144577,-668.5173587197146
35,6800,6800,1272.5916392803192,-241.41479883974844
36,7000,7000,1328.9613780975342,-991.7161720546508
37,7200,7200,1386.594961643219,-355.4315420587741
38,7400,7400,1444.7287724018097,-123.33410809699133
39,7600,7600,1504.2678678035736,-129.37981019153025
40,7800,7800,1564.3854520320892,-468.340081443895
41,8000,8000,1625.04714012146,-491.3887801593238
42,8200,8200,1689.1746327877045,-366.0199286317868
43,8400,8400,1753.0484282970428,-129.3690752687725
44,8600,8600,1818.581285238266,-757.3630654355936
45,8800,8800,1884.7123007774353,-125.80649571252738
46,9000,9000,1949.1322140693665,-125.94767042867784
47,9200,9200,2014.1202776432037,-119.98755938351269
48,9400,9400,2079.1146569252014,-126.99205726008181
49,9600,9600,2145.2304859161377,-234.4733478443831
50,9800,9800,2212.0874898433685,-118.05425316849015
51,10000,10000,2279.613835334778,-236.81874547188056
