episode,step,env_step,total_time,episode_reward
1,0,0,0.15190458297729492,-1067.4031955416337
2,200,200,20.31481170654297,-1166.8547080231467
3,400,400,49.45161247253418,-1217.2533145133111
4,600,600,78.57991313934326,-955.7893778172887
5,800,800,108.14345836639404,-1351.9930701939454
6,1000,1000,138.65247106552124,-1138.2301731739913
7,1200,1200,168.61121773719788,-767.3703473828323
8,1400,1400,198.71119928359985,-879.2518277294624
9,1600,1600,229.02991318702698,-750.5115555330989
10,1800,1800,259.63187623023987,-3.578040793867555
11,2000,2000,288.97360467910767,-926.4985837027455
12,2200,2200,318.8799743652344,-125.36908484621327
13,2400,2400,350.2485954761505,-1153.26439979265
14,2600,2600,381.3981535434723,-123.54555565048939
15,2800,2800,412.03639698028564,-1691.263599217881
16,3000,3000,442.8285377025604,-865.8579853766469
17,3200,3200,473.98729395866394,-130.47558605424692
18,3400,3400,504.7096838951111,-373.31408447844956
19,3600,3600,534.2876780033112,-127.81542415179082
20,3800,3800,564.0911116600037,-365.8445587746932
21,4000,4000,594.5122356414795,-129.80758082088758
22,4200,4200,625.3676955699921,-5.498797052643487
23,4400,4400,656.1177825927734,-472.45119255778
24,4600,4600,687.9873728752136,-129.05028526866622
25,4800,4800,734.7445015907288,-473.78260987837035
26,5000,5000,782.8273990154266,-1157.3235136348633
27,5200,5200,831.3390655517578,-1196.9859579914923
28,5400,5400,881.83567237854,-1718.13702735863
29,5600,5600,933.228698015213,-1720.3286659247071
30,5800,5800,984.8818414211273,-702.9858350906189
31,6000,6000,1036.5368249416351,-1226.5193943204629
32,6200,6200,1089.0283501148224,-599.1086566072585
33,6400,6400,1131.339835882187,-474.73813619341973
34,6600,6600,1185.8768701553345,-362.93029704336425
35,6800,6800,1241.1585993766785,-126.39992492535887
36,7000,7000,1296.554782152176,-122.20159854646238
37,7200,7200,1353.4204413890839,-463.15240234453944
38,7400,7400,1410.814825296402,-123.66176574179089
39,7600,7600,1469.1219325065613,-2.496782475508495
