episode,step,env_step,total_time,episode_reward
1,0,0,0.10949254035949707,-1573.319738017077
2,200,200,20.637022972106934,-1139.3889252465
3,400,400,50.57006311416626,-1284.74377620438
4,600,600,82.2514979839325,-1662.0376927827633
5,800,800,112.53043627738953,-1008.5078344413506
6,1000,1000,141.94023728370667,-1022.6612876284086
7,1200,1200,172.2764527797699,-1078.0195572663752
8,1400,1400,202.2690887451172,-979.6875683689856
9,1600,1600,232.87521862983704,-1028.2023291649393
10,1800,1800,262.8422124385834,-553.4193957327533
11,2000,2000,293.49809169769287,-630.2378648765184
12,2200,2200,324.93933176994324,-973.2238344262399
13,2400,2400,354.9855556488037,-483.0873936118609
14,2600,2600,389.127215385437,-372.3733019103833
15,2800,2800,423.2205834388733,-501.30092644491833
16,3000,3000,454.1905448436737,-245.18315042308294
17,3200,3200,485.00838112831116,-0.44192116633109374
18,3400,3400,516.4373171329498,-575.8232166157983
19,3600,3600,546.2837030887604,-348.54252245349875
20,3800,3800,578.069696187973,-353.70914985807
21,4000,4000,610.5951669216156,-250.93259291918073
22,4200,4200,650.6112051010132,-368.1428832550741
23,4400,4400,689.1602802276611,-1054.624201269131
24,4600,4600,725.6726245880127,-611.4445476198529
25,4800,4800,762.4694592952728,-596.8174090865649
26,5000,5000,799.8270354270935,-1476.3408119540456
27,5200,5200,837.1404814720154,-126.61649097760449
28,5400,5400,873.6585214138031,-127.25367449302033
29,5600,5600,913.3582882881165,-1731.070085593721
30,5800,5800,954.3347673416138,-125.48065234258856
31,6000,6000,1006.7842373847961,-124.75417319527233
