episode,step,env_step,total_time,episode_reward
1,0,0,0.11066746711730957,-1055.332886734798
2,200,200,18.21694588661194,-1357.9188695062562
3,400,400,44.10437560081482,-1627.2040487844365
4,600,600,69.60289287567139,-1691.895258026906
5,800,800,95.7886061668396,-1062.130721715331
6,1000,1000,121.96703815460205,-1013.8282954366186
7,1200,1200,149.19721269607544,-935.8391226107453
8,1400,1400,175.715496301651,-1014.9896789828118
9,1600,1600,202.43377089500427,-749.5653501484509
10,1800,1800,229.6447093486786,-673.5204557278563
11,2000,2000,257.18507647514343,-1425.6228869863069
12,2200,2200,284.5306978225708,-125.24334737211413
13,2400,2400,311.3924837112427,-751.4545799852566
14,2600,2600,339.86950945854187,-2.6538785144669976
15,2800,2800,371.143048286438,-129.7351653547523
16,3000,3000,408.8783166408539,-765.1447347829022
17,3200,3200,446.9343888759613,-1312.3843435349431
18,3400,3400,485.18000960350037,-1582.1738894363777
19,3600,3600,525.1113891601562,-1324.296480151475
20,3800,3800,565.4669098854065,-1073.9704734685172
21,4000,4000,606.1621534824371,-1013.2094273316045
22,4200,4200,649.0600397586823,-126.88264720721781
23,4400,4400,691.9654545783997,-744.8460142767061
24,4600,4600,735.4020636081696,-1080.4839334029743
25,4800,4800,780.4190967082977,-3.3087771905189145
26,5000,5000,825.8906104564667,-126.48575116128893
27,5200,5200,872.5129430294037,-250.17789218004594
28,5400,5400,919.7948234081268,-359.7161838959857
29,5600,5600,967.0921459197998,-364.67325553594395
30,5800,5800,1016.4143135547638,-490.5585512216207
31,6000,6000,1065.8684594631195,-126.45513004670734
