episode,step,env_step,total_time,episode_reward
1,0,0,0.1202399730682373,-1067.4031955416337
2,200,200,14.802690267562866,-1167.2043173612021
3,400,400,33.86380863189697,-1367.8382841688556
4,600,600,52.19732117652893,-1386.4176659782054
5,800,800,70.6978862285614,-1256.2525280696466
6,1000,1000,88.25268197059631,-1546.954509702557
7,1200,1200,105.91728353500366,-1132.2996959969264
8,1400,1400,123.98106169700623,-1214.039448760508
9,1600,1600,142.27569198608398,-1426.2198647818398
10,1800,1800,161.03828740119934,-634.5284203212212
11,2000,2000,180.19068217277527,-1652.4190074684284
12,2200,2200,197.71883082389832,-885.6001519932452
13,2400,2400,217.37760257720947,-596.0301312921521
14,2600,2600,236.40459442138672,-248.54154012066837
15,2800,2800,254.3402919769287,-1731.2107199871875
16,3000,3000,272.54149889945984,-1691.3576496299984
17,3200,3200,290.7016968727112,-1180.9887110151985
18,3400,3400,308.6770193576813,-1129.3524865239349
19,3600,3600,326.2218840122223,-1244.4603525712857
20,3800,3800,343.5916790962219,-1453.7285547051004
21,4000,4000,361.8667325973511,-1144.2648899571832
22,4200,4200,379.59752321243286,-6.023629663413429
23,4400,4400,397.9280536174774,-1292.9337429719133
24,4600,4600,416.564608335495,-1006.6456292757761
25,4800,4800,435.04212403297424,-1154.2852835321182
26,5000,5000,452.9505457878113,-1257.5010221383407
27,5200,5200,471.1313462257385,-1593.4374661696447
28,5400,5400,489.34850311279297,-1717.8452151299423
29,5600,5600,507.51739287376404,-1273.342340430337
30,5800,5800,525.9095933437347,-1223.097410096507
31,6000,6000,544.0153248310089,-1264.572411578477
32,6200,6200,561.7781045436859,-1593.372161373239
33,6400,6400,579.550487279892,-1376.5522098958775
34,6600,6600,597.070330619812,-1349.4920720763782
35,6800,6800,614.9138557910919,-755.9822161427796
36,7000,7000,633.5208451747894,-1061.0070018965246
37,7200,7200,651.8821234703064,-602.4979113411667
38,7400,7400,669.950921535492,-975.1920071127959
39,7600,7600,687.9072089195251,-1.3288667643979208
40,7800,7800,705.8465478420258,-980.1992747929734
41,8000,8000,724.7571017742157,-758.882389122584
42,8200,8200,743.7450914382935,-505.1845049392275
43,8400,8400,762.4555876255035,-737.8332079855455
44,8600,8600,780.9510366916656,-1108.902837729511
45,8800,8800,799.2708652019501,-255.94645895257543
46,9000,9000,816.9594693183899,-383.22502732254867
47,9200,9200,834.9722290039062,-127.24483768977903
48,9400,9400,852.289121389389,-628.0422285137709
49,9600,9600,869.5680973529816,-248.74251722529888
50,9800,9800,888.5417172908783,-480.2576544796586
51,10000,10000,908.6548693180084,-476.3150711947394
