episode,step,env_step,total_time,episode_reward
1,0,0,0.1100149154663086,-1067.4031955416337
2,200,200,13.130227088928223,-1166.8547080231467
3,400,400,30.459047317504883,-1341.6057483104726
4,600,600,47.619951248168945,-1382.0433108317363
5,800,800,65.19189596176147,-736.375199801874
6,1000,1000,83.08507585525513,-1719.1641728149307
7,1200,1200,100.91978764533997,-1236.3765177522962
8,1400,1400,118.65447759628296,-1034.079051039708
9,1600,1600,136.37228393554688,-1075.9319295961063
10,1800,1800,153.98419618606567,-247.2515594294465
11,2000,2000,171.78469276428223,-840.2864488233756
12,2200,2200,189.8219292163849,-125.93436440561058
13,2400,2400,207.64120364189148,-494.57756916065114
14,2600,2600,225.0260615348816,-123.56805267262196
15,2800,2800,242.37302994728088,-1729.2511563869143
16,3000,3000,260.28550934791565,-490.1306095819111
17,3200,3200,278.39310812950134,-124.936615849772
18,3400,3400,296.17573142051697,-373.9327601819739
19,3600,3600,314.2494294643402,-121.84304545454678
20,3800,3800,332.55793952941895,-363.11913189305625
21,4000,4000,349.9936435222626,-639.2725794289395
22,4200,4200,367.66753673553467,-2.128704310447325
23,4400,4400,385.2471535205841,-1547.0599480123428
24,4600,4600,402.280481338501,-626.1115674972767
25,4800,4800,419.7189869880676,-362.76196990661526
26,5000,5000,437.5450415611267,-119.94219270360884
27,5200,5200,455.137690782547,-243.91843288984757
28,5400,5400,472.4810688495636,-493.7650615841159
29,5600,5600,490.1671118736267,-1733.954604233393
30,5800,5800,507.73541259765625,-0.8196395074185012
31,6000,6000,525.7749137878418,-538.1613717436702
32,6200,6200,543.5188462734222,-376.7365533004075
33,6400,6400,560.9741621017456,-484.62756208478635
34,6600,6600,578.617392539978,-242.90566620799808
35,6800,6800,596.3703961372375,-1203.55703398443
36,7000,7000,613.9803187847137,-1027.1183073445889
37,7200,7200,631.7052159309387,-1626.7631146544672
38,7400,7400,649.5816237926483,-125.63064545713418
39,7600,7600,667.2754209041595,-1.3173152917418256
40,7800,7800,685.2086477279663,-243.55295105217374
41,8000,8000,702.6588451862335,-122.9618253150741
42,8200,8200,720.0622699260712,-120.0806178002888
43,8400,8400,737.5366475582123,-245.55484179621888
44,8600,8600,756.6033403873444,-571.220802657143
45,8800,8800,773.6909203529358,-126.70295009487148
46,9000,9000,791.6686940193176,-2.2832420935434623
47,9200,9200,810.5392503738403,-1.290717706811125
48,9400,9400,828.4241535663605,-247.4499726776587
49,9600,9600,846.5202503204346,-244.4940688677773
50,9800,9800,864.3219275474548,-473.7689783637771
51,10000,10000,882.0242869853973,-250.93085172657814
