episode,step,env_step,total_time,episode_reward
1,0,0,0.1185760498046875,-1055.332886734798
2,200,200,13.208503246307373,-1160.8110922877174
3,400,400,26.53767156600952,-1525.8798172023335
4,600,600,43.383639335632324,-1318.520456012755
5,800,800,59.11696815490723,-1129.3765624024338
6,1000,1000,76.03095746040344,-783.0202587001319
7,1200,1200,107.32083702087402,-128.38259141362013
8,1400,1400,123.04614877700806,-126.12324923836
9,1600,1600,140.7835988998413,-125.2729778018722
10,1800,1800,158.70839381217957,-125.17218996108164
11,2000,2000,178.16284728050232,-126.32994110099571
12,2200,2200,215.0297281742096,-125.88731593154408
13,2400,2400,236.226966381073,-124.85814777154907
14,2600,2600,257.7836136817932,-124.58029177919708
15,2800,2800,277.2544002532959,-124.18477742231005
16,3000,3000,296.5127577781677,-123.4034512117564
17,3200,3200,333.83380794525146,-124.38068938867599
18,3400,3400,352.9171886444092,-124.68270246270414
19,3600,3600,372.0044095516205,-1102.991855565047
20,3800,3800,391.11713433265686,-1380.9218412990451
21,4000,4000,410.27905559539795,-1312.5296991221717
22,4200,4200,447.97101068496704,-123.35339733209119
23,4400,4400,467.0171582698822,-1198.635258953516
24,4600,4600,486.279278755188,-1116.5125881218366
25,4800,4800,506.1545686721802,-1039.9000388889126
26,5000,5000,526.0752222537994,-998.792354737086
27,5200,5200,562.8502008914948,-901.4004844956672
28,5400,5400,581.8045418262482,-928.2460352788711
29,5600,5600,601.308990240097,-902.2568262972146
30,5800,5800,621.1336281299591,-889.9501604128943
31,6000,6000,642.5001945495605,-901.2703026954258
