episode,step,env_step,total_time,episode_reward
1,0,0,0.1338181495666504,-1067.4031955416337
2,200,200,12.862957000732422,-1380.6576810274855
3,400,400,27.983534574508667,-1253.5402828729996
4,600,600,43.69593787193298,-1530.720665669785
5,800,800,61.49598217010498,-1255.681228555193
6,1000,1000,82.71709299087524,-1173.4653848171984
7,1200,1200,119.96265935897827,-1114.9044483198647
8,1400,1400,140.3710036277771,-615.7529954914036
9,1600,1600,160.10035347938538,-1246.9474344006485
10,1800,1800,179.47099590301514,-1.4393769369418303
11,2000,2000,202.4210934638977,-482.6871739564261
12,2200,2200,243.39597010612488,-123.47603215040574
13,2400,2400,265.458692073822,-469.57173732537217
14,2600,2600,288.03941440582275,-123.6133618453366
15,2800,2800,311.125283241272,-752.7165278937789
16,3000,3000,337.29266119003296,-482.01789598992787
17,3200,3200,384.8835871219635,-123.74604271950659
18,3400,3400,416.51665329933167,-376.91229639857045
19,3600,3600,446.00850677490234,-123.13907247241956
20,3800,3800,474.1001784801483,-236.3041221442381
21,4000,4000,504.05871629714966,-127.65048758487306
22,4200,4200,556.6170086860657,-0.7296054179407916
23,4400,4400,586.0878710746765,-469.8613320711604
24,4600,4600,617.6176955699921,-122.76392763131129
25,4800,4800,646.7920789718628,-366.3263127583028
26,5000,5000,676.1627953052521,-119.5205422929167
27,5200,5200,728.2778868675232,-240.74727487772148
28,5400,5400,758.1088175773621,-487.73165877499673
29,5600,5600,787.2294535636902,-589.3104350641646
30,5800,5800,816.4208886623383,-3.086397986829428
31,6000,6000,845.4086494445801,-535.879115308462
32,6200,6200,897.3752217292786,-497.10203167589475
33,6400,6400,925.9252758026123,-360.65366173603184
34,6600,6600,954.4376194477081,-241.5019519165067
35,6800,6800,983.2168636322021,-127.49288128517769
36,7000,7000,1012.0792951583862,-125.22353598842298
37,7200,7200,1064.8533177375793,-350.83375325666134
38,7400,7400,1094.0294420719147,-126.54620593930082
39,7600,7600,1122.9338188171387,-2.2114829612013938
40,7800,7800,1152.308458328247,-240.56551799426512
41,8000,8000,1181.8006131649017,-123.56928288615414
42,8200,8200,1235.5670909881592,-121.579362809827
43,8400,8400,1264.9378817081451,-120.3924757799105
44,8600,8600,1293.3420193195343,-590.3442393691673
45,8800,8800,1322.2712047100067,-124.7175601916164
46,9000,9000,1351.2712216377258,-2.6778140817972744
47,9200,9200,1403.5628910064697,-3.016898758302966
48,9400,9400,1432.4460988044739,-247.92652253072995
49,9600,9600,1461.2376854419708,-246.18584838805475
50,9800,9800,1491.32124710083,-474.6044423663471
51,10000,10000,1521.8253903388977,-123.71346996080459
