episode,step,env_step,total_time,episode_reward
1,0,0,0.3012709617614746,-1066.608765878109
2,200,200,15.050524473190308,-958.2088202984608
3,400,400,32.732062578201294,-1108.2394255463541
4,600,600,58.921106815338135,-1326.1360730278534
5,800,800,82.86173272132874,-1108.0078880568913
6,1000,1000,109.15516805648804,-251.16945029735703
7,1200,1200,156.95881414413452,-126.43406643325682
8,1400,1400,184.45671439170837,-126.2057401463703
9,1600,1600,217.90424180030823,-125.61456033147765
10,1800,1800,245.98290705680847,-125.93773088617554
11,2000,2000,282.40168023109436,-126.20887061358552
12,2200,2200,344.67663860321045,-125.98299640476301
13,2400,2400,382.2354142665863,-125.4434153410696
14,2600,2600,416.5591402053833,-125.0689902894174
15,2800,2800,450.84794330596924,-125.53952768890144
16,3000,3000,483.8954186439514,-125.52412790931305
17,3200,3200,546.3163950443268,-5.4705005002463185
18,3400,3400,579.8695087432861,-1241.3850600703668
19,3600,3600,616.7563264369965,-931.9762305373445
20,3800,3800,652.9386978149414,-1357.4274380064364
21,4000,4000,688.3655643463135,-1365.1786532678386
22,4200,4200,750.0654020309448,-1433.4903577033347
23,4400,4400,785.3162815570831,-8.439341336489665
24,4600,4600,819.2587354183197,-1400.31967783394
25,4800,4800,856.9543251991272,-10.958147810294976
26,5000,5000,892.1877040863037,-7.1570470126009775
27,5200,5200,954.5919466018677,-6.383399394889707
28,5400,5400,989.3530080318451,-7.875803518461769
29,5600,5600,1023.9740006923676,-5.965257518815178
30,5800,5800,1059.9009692668915,-1119.6071877113177
31,6000,6000,1094.418889760971,-5.005420566840956
