episode,step,env_step,total_time,episode_reward
1,0,0,0.12052702903747559,-1573.319738017077
2,200,200,11.72569990158081,-1651.4581661191473
3,400,400,23.891752004623413,-1525.9968596665094
4,600,600,38.84334397315979,-1277.3555517556415
5,800,800,54.878278970718384,-1190.2752993035815
6,1000,1000,73.27303552627563,-1227.827794907656
7,1200,1200,100.78099966049194,-1190.6088437843446
8,1400,1400,112.6360125541687,-1316.2199374268523
9,1600,1600,130.80410885810852,-1149.9598904718912
10,1800,1800,146.70840692520142,-476.4838044172364
11,2000,2000,164.47200345993042,-483.2049133208648
12,2200,2200,193.09316992759705,-487.934414135771
13,2400,2400,208.1890687942505,-486.9392592462247
14,2600,2600,225.83514285087585,-621.2780031746537
15,2800,2800,242.10768055915833,-618.5036238337692
16,3000,3000,255.67286109924316,-619.1353569638953
17,3200,3200,283.07799100875854,-489.4129130343872
18,3400,3400,294.98941349983215,-621.2303012319524
19,3600,3600,308.2575798034668,-492.4063523290485
20,3800,3800,321.5025751590729,-489.8283601626676
21,4000,4000,334.61021423339844,-612.994183801502
22,4200,4200,362.40002942085266,-489.3017405548828
23,4400,4400,375.1941771507263,-482.77995996826894
24,4600,4600,389.6531183719635,-481.877776989638
25,4800,4800,404.5000443458557,-600.1553471584886
26,5000,5000,419.4204487800598,-604.9560815552401
27,5200,5200,448.05215096473694,-600.2085518611038
28,5400,5400,464.00206565856934,-613.773527393402
29,5600,5600,480.5403709411621,-606.4324419836602
30,5800,5800,497.8046205043793,-604.1704032449697
31,6000,6000,514.9095978736877,-484.0444341562874
