episode,step,env_step,total_time,episode_reward
1,0,0,0.1090857982635498,-1573.319738017077
2,200,200,10.534697532653809,-1174.199870295175
3,400,400,21.94594717025757,-1441.7906951750404
4,600,600,35.66328692436218,-1109.6394324565765
5,800,800,51.65311622619629,-126.58483942120827
6,1000,1000,65.7266674041748,-760.2717586665991
7,1200,1200,81.65812683105469,-1016.2159081610273
8,1400,1400,95.11302471160889,-1040.9392959647503
9,1600,1600,109.05079388618469,-915.7137234239015
10,1800,1800,122.34705805778503,-588.4174074416524
11,2000,2000,135.17698454856873,-126.65780218910764
12,2200,2200,148.20423555374146,-827.0107189478119
13,2400,2400,161.54702591896057,-610.2276833923694
14,2600,2600,175.09557557106018,-620.3607609112927
15,2800,2800,189.14191269874573,-519.9358327431827
16,3000,3000,203.2528841495514,-633.4222311900717
17,3200,3200,216.2768259048462,-2.605429913185032
18,3400,3400,229.1031699180603,-479.94344552074665
19,3600,3600,242.03303027153015,-366.1590934615996
20,3800,3800,255.05508017539978,-363.6005877248616
21,4000,4000,268.05861926078796,-129.75155883028978
22,4200,4200,282.4281220436096,-379.8261891604803
23,4400,4400,296.33970189094543,-128.0709357696311
24,4600,4600,310.10880064964294,-502.12641528410666
25,4800,4800,323.63832545280457,-1070.5327922137635
26,5000,5000,337.09713554382324,-487.06112050797867
27,5200,5200,351.8593678474426,-1385.0229906401905
28,5400,5400,365.217089176178,-130.81359052223527
29,5600,5600,378.2227785587311,-495.5490193549262
30,5800,5800,391.3227035999298,-131.6645145531998
31,6000,6000,405.133428812027,-130.6591001537747
