episode,step,env_step,total_time,episode_reward
1,0,0,0.11084437370300293,-1067.4031955416337
2,200,200,12.026564121246338,-993.9232582887358
3,400,400,23.88381004333496,-1287.902808174362
4,600,600,36.38171315193176,-1287.1099608593252
5,800,800,48.81769061088562,-997.6409135958013
6,1000,1000,61.75881004333496,-764.6021412260959
7,1200,1200,74.7213683128357,-126.1843362887683
8,1400,1400,88.08287072181702,-125.90094529218631
9,1600,1600,101.46860766410828,-126.07456284752305
10,1800,1800,115.19719529151917,-126.08485754921917
11,2000,2000,129.4635796546936,-125.89555206670694
12,2200,2200,143.784738779068,-766.7852301942498
13,2400,2400,159.191876411438,-127.4802288174709
14,2600,2600,172.5391707420349,-127.1794209888221
15,2800,2800,186.89547157287598,-127.83818518817327
16,3000,3000,201.5865843296051,-130.89341598160325
17,3200,3200,216.11396074295044,-128.60115990335112
18,3400,3400,230.59506249427795,-129.51051700326627
19,3600,3600,245.33789539337158,-129.49154782842214
20,3800,3800,259.71625232696533,-130.37743926068777
21,4000,4000,273.8069808483124,-255.02928845769927
22,4200,4200,288.2092082500458,-131.377511567788
23,4400,4400,302.76473450660706,-131.0809548545004
24,4600,4600,316.71420407295227,-129.71776394138433
25,4800,4800,331.08537220954895,-127.42813766472881
26,5000,5000,345.4775686264038,-127.8480822748158
27,5200,5200,359.65195989608765,-128.70522968458096
28,5400,5400,373.8730983734131,-126.37793771909358
29,5600,5600,388.7592263221741,-127.25075714293693
30,5800,5800,403.5607738494873,-129.18708813975928
31,6000,6000,417.94682240486145,-127.29513544003059
