episode,step,env_step,total_time,episode_reward
1,0,0,0.12789130210876465,-1041.4264342587219
2,200,200,12.772171020507812,-1163.8506999482343
3,400,400,25.367882251739502,-1397.205020876669
4,600,600,38.40584397315979,-1310.487841898116
5,800,800,51.5234010219574,-1087.0444491094222
6,1000,1000,65.49695992469788,-255.05398464273318
7,1200,1200,94.10377359390259,-253.93762901992923
8,1400,1400,107.72699332237244,-126.15359352621984
9,1600,1600,122.56379342079163,-126.86910277434664
10,1800,1800,137.59920740127563,-126.38581381163826
11,2000,2000,153.3138883113861,-898.0123256199548
12,2200,2200,183.4189534187317,-125.76797499313889
13,2400,2400,198.54812955856323,-125.96877265281843
14,2600,2600,213.9695017337799,-126.25562433031884
15,2800,2800,234.87017273902893,-249.9836753348679
16,3000,3000,254.06540036201477,-125.12003584505109
17,3200,3200,283.4912691116333,-13.066906084589215
18,3400,3400,298.2052683830261,-14.367114250906624
19,3600,3600,313.8238844871521,-12.091204358553563
20,3800,3800,329.10748410224915,-12.323994681872705
21,4000,4000,344.87980127334595,-13.701880243122849
22,4200,4200,374.82917070388794,-12.816950287724659
23,4400,4400,390.18584632873535,-12.587896217626453
24,4600,4600,406.1592216491699,-12.115328985963831
25,4800,4800,423.1312599182129,-12.408021683663154
26,5000,5000,439.64090847969055,-12.839651444150618
27,5200,5200,469.65745186805725,-12.118732645362162
28,5400,5400,485.1918134689331,-12.477011138678375
29,5600,5600,501.0413715839386,-14.108062167570598
30,5800,5800,517.1022353172302,-14.22302310250642
31,6000,6000,533.3028464317322,-13.732636220871601
