episode,step,env_step,total_time,episode_reward
1,0,0,0.11559867858886719,-1067.4031955416337
2,200,200,10.662150859832764,-1380.6576810274855
3,400,400,21.299290657043457,-1118.114527463185
4,600,600,32.307185649871826,-1234.2281143642817
5,800,800,43.77452325820923,-856.5217458215519
6,1000,1000,55.22077441215515,-881.0010182107018
7,1200,1200,81.54518532752991,-1247.6854954459648
8,1400,1400,92.56342315673828,-501.516649691642
9,1600,1600,104.08307003974915,-123.68129481758025
10,1800,1800,115.97602891921997,-0.30909447444372506
11,2000,2000,128.8665919303894,-609.604021929081
12,2200,2200,154.6851465702057,-124.5995516227043
13,2400,2400,165.48264265060425,-480.99896696602474
14,2600,2600,176.98066520690918,-562.6837415765834
15,2800,2800,188.56920385360718,-781.7953404520981
16,3000,3000,200.725821018219,-489.57762232365667
17,3200,3200,229.34439754486084,-126.44623228893327
18,3400,3400,243.1193015575409,-378.4621334925038
19,3600,3600,257.0508120059967,-125.12861844837913
20,3800,3800,270.87872433662415,-365.55113842080084
21,4000,4000,284.81123304367065,-128.0399525104707
22,4200,4200,312.4895613193512,-5.2618028569924675
23,4400,4400,324.9106957912445,-481.2738978028603
24,4600,4600,337.66090059280396,-124.92748570367159
25,4800,4800,350.45019340515137,-375.7141771678908
26,5000,5000,363.3037996292114,-121.26864494735445
27,5200,5200,390.7866199016571,-246.31544794609846
28,5400,5400,402.83531856536865,-616.1996766316427
29,5600,5600,415.2480618953705,-598.7596161370583
30,5800,5800,427.7328734397888,-2.606437544855901
31,6000,6000,440.2416672706604,-511.0290070539026
32,6200,6200,467.0203950405121,-385.3738818858196
33,6400,6400,478.8914330005646,-464.124178288159
34,6600,6600,491.93965315818787,-243.87261808006352
35,6800,6800,506.03269624710083,-127.2077783073999
36,7000,7000,519.864987373352,-127.86370114467587
37,7200,7200,548.1941158771515,-355.31426595576147
38,7400,7400,561.2349722385406,-128.64895413249093
39,7600,7600,573.993242263794,-7.430487285365176
40,7800,7800,587.3576107025146,-244.3871072095902
41,8000,8000,600.3081362247467,-124.8246091034235
42,8200,8200,627.5307996273041,-371.99759349445816
43,8400,8400,639.5969181060791,-123.79565564282393
44,8600,8600,652.0273876190186,-703.8631596207233
45,8800,8800,664.4743449687958,-128.63903166396594
46,9000,9000,676.9416174888611,-257.2275924987518
47,9200,9200,703.9324119091034,-4.124812287168936
48,9400,9400,716.3005163669586,-249.7846732439892
49,9600,9600,729.2836697101593,-249.14205884163252
50,9800,9800,743.3231379985809,-601.4246332154175
51,10000,10000,757.963502407074,-250.55490817795436
