episode,step,env_step,total_time,episode_reward
1,0,0,0.12311768531799316,-1301.5945045396602
2,200,200,12.84367847442627,-1452.360970352547
3,400,400,28.274174451828003,-1077.207844183154
4,600,600,45.098198890686035,-922.7056011037815
5,800,800,63.14800453186035,-631.1764326705364
6,1000,1000,83.34383249282837,-248.92788045114196
7,1200,1200,102.65043759346008,-238.87997622844821
8,1400,1400,122.10809183120728,-124.54742310404572
9,1600,1600,141.4852955341339,-122.34734429395941
10,1800,1800,161.0843150615692,-242.36433271143773
11,2000,2000,181.15559792518616,-3.050805847670864
12,2200,2200,202.96008133888245,-372.13308258894773
13,2400,2400,223.61364150047302,-498.72858068439075
14,2600,2600,244.67544269561768,-123.46640142517947
15,2800,2800,264.7940378189087,-597.5260027679146
16,3000,3000,284.5467748641968,-572.5342563185774
17,3200,3200,304.5353584289551,-127.16432710889339
18,3400,3400,324.67070841789246,-496.11791054839864
19,3600,3600,344.18470549583435,-240.16572346811344
20,3800,3800,363.4676549434662,-244.11552734439
21,4000,4000,382.90408301353455,-361.16613096020154
22,4200,4200,402.64671897888184,-238.09792098123785
23,4400,4400,423.46756505966187,-124.01873285632904
24,4600,4600,445.4822006225586,-126.62486890142807
25,4800,4800,466.80414605140686,-589.6043963647941
26,5000,5000,487.9725270271301,-242.06540453021375
27,5200,5200,508.17987275123596,-487.34909712266284
28,5400,5400,527.7259924411774,-365.8538983401028
29,5600,5600,547.5201489925385,-471.6214637792017
30,5800,5800,566.9508707523346,-360.3956951395058
31,6000,6000,586.3336176872253,-366.41017034206584
