episode,step,env_step,total_time,episode_reward
1,0,0,0.1146237850189209,-1573.319738017077
2,200,200,13.144152164459229,-1651.4581661191473
3,400,400,26.593424081802368,-1524.534794644901
4,600,600,42.019973278045654,-1221.921046323533
5,800,800,59.549652099609375,-1181.3065127712368
6,1000,1000,78.8549530506134,-1174.1868285376006
7,1200,1200,97.53335452079773,-1015.1126340790888
8,1400,1400,116.10224795341492,-1130.345544602102
9,1600,1600,136.57371401786804,-483.75955567720666
10,1800,1800,157.35047435760498,-479.61353287067016
11,2000,2000,178.90938305854797,-481.6276605844924
12,2200,2200,199.59116530418396,-482.61804617402964
13,2400,2400,219.6166820526123,-485.94400211628346
14,2600,2600,239.91900944709778,-491.7034419106505
15,2800,2800,260.3078956604004,-490.03055014519134
16,3000,3000,282.6080377101898,-616.9647732194687
17,3200,3200,303.3567445278168,-611.7605955279448
18,3400,3400,325.31807804107666,-483.51538732940185
19,3600,3600,345.737046957016,-484.31194036731733
20,3800,3800,366.072794675827,-478.7595738078952
21,4000,4000,387.379097700119,-483.8057295404084
22,4200,4200,408.81759691238403,-483.85701766524903
23,4400,4400,429.3554618358612,-487.0815428644539
24,4600,4600,449.2738308906555,-489.0012357102906
25,4800,4800,470.9267704486847,-485.5395810651985
26,5000,5000,492.05005145072937,-480.7024952489823
27,5200,5200,513.7273678779602,-483.2229097474034
28,5400,5400,536.3263771533966,-482.27684907756156
29,5600,5600,559.0368456840515,-480.8011685581078
30,5800,5800,581.4386835098267,-480.2075827742364
31,6000,6000,602.4963667392731,-479.44033917384957
