episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.5364758968353271,-281.4190034261501,0
2,500,500,0.7975640296936035,-239.55718007248723,0
3,1000,1000,1.066380262374878,-245.4121443305636,0
4,1500,1500,1.3655130863189697,-292.4946707184049,0
5,2000,2000,135.6206283569336,-519.0247652405551,1024
6,2500,2500,232.71970629692078,4.173124063991281,1024
7,3000,3000,334.2412734031677,-367.4871112156126,1024
8,3500,3500,436.7516462802887,29.27742474581467,1024
9,4000,4000,537.7083520889282,126.42839737559216,1024
10,4500,4500,643.4985618591309,13.542817082789192,1024
11,5000,5000,745.1499757766724,205.60537447295224,1024
12,5500,5500,848.0447654724121,366.876109686926,1024
13,6000,6000,950.4353942871094,479.188545354255,1024
14,6500,6500,1052.9403550624847,820.6367015281103,1024
15,7000,7000,1156.5042176246643,251.24946231115308,1024
16,7500,7500,1257.2394316196442,964.4662059292584,1024
17,8000,8000,1360.8352806568146,1117.182401763107,1024
18,8500,8500,1461.8551392555237,1019.5269508055641,1024
19,9000,9000,1563.4730954170227,1318.3451196298163,1024
20,9500,9500,1664.9813120365143,1452.788049979656,1024
21,10000,10000,1765.9791150093079,1539.802492864057,1024
22,10500,10500,1871.6803171634674,1541.5995810053223,1024
23,11000,11000,1972.5700969696045,1543.8241855717351,1024
24,11500,11500,2075.8848831653595,1867.856603709989,1024
25,12000,12000,2178.019760608673,1867.0339641460346,1024
26,12500,12500,2285.5195434093475,1254.3180372408897,1024
27,13000,13000,2390.247917175293,1966.1329329872462,1024
28,13500,13500,2491.9700236320496,1594.5601621571752,1024
29,14000,14000,2594.2786424160004,1584.5306727166756,1024
30,14500,14500,2696.500903606415,1262.0755274458047,1024
31,15000,15000,2799.962336540222,1759.6171301764107,1024
