episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.47411632537841797,-281.4190034261501,0
2,500,500,0.7234067916870117,-239.55718007248723,0
3,1000,1000,0.9662792682647705,-245.4121443305636,0
4,1500,1500,1.2002761363983154,-292.4946707184049,0
5,2000,2000,111.16926693916321,-519.0247652405551,0
6,2500,2500,148.60087776184082,-347.6131293194282,0
7,3000,3000,187.12718033790588,105.05832295912018,0
8,3500,3500,224.4261827468872,-19.67925306723422,0
9,4000,4000,261.4339451789856,-209.22974134166867,0
10,4500,4500,299.8576090335846,-52.65823428268437,0
11,5000,5000,337.6933584213257,-20.004500380579078,0
12,5500,5500,375.196937084198,-87.06170830551088,0
13,6000,6000,412.63166403770447,129.3640894771983,0
14,6500,6500,449.5494751930237,219.99095660207902,0
15,7000,7000,486.58498883247375,278.16190137850765,0
16,7500,7500,526.7959854602814,696.3019572080058,0
17,8000,8000,566.8454580307007,852.082906827495,0
18,8500,8500,604.5299699306488,482.6978265895021,0
19,9000,9000,642.8252201080322,1094.01066899481,0
20,9500,9500,680.235589504242,1379.6635236032891,0
21,10000,10000,717.9654471874237,1490.632110652509,0
22,10500,10500,755.4867627620697,1682.9751175335878,0
23,11000,11000,792.8763756752014,972.1180953655482,0
24,11500,11500,832.2070066928864,740.6265522085083,0
25,12000,12000,869.6242568492889,1745.5458244791253,0
26,12500,12500,907.1301033496857,1916.7014932486463,0
27,13000,13000,944.9261519908905,1633.584355855377,0
28,13500,13500,982.2284190654755,1768.3435762950865,0
29,14000,14000,1026.6342124938965,582.8717035929383,0
30,14500,14500,1067.3022458553314,1960.8517668337076,0
31,15000,15000,1105.026439666748,1821.155111289883,0
