episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.4999251365661621,-237.74198607223207,0
2,500,500,0.7411148548126221,-244.6510449702654,0
3,1000,1000,1.0173192024230957,-266.8421783230196,0
4,1500,1500,1.3051316738128662,-207.71931009282318,0
5,2000,2000,137.36542391777039,-503.2228822813119,1024
6,2500,2500,204.3565227985382,-124.83418498964636,1024
7,3000,3000,272.6106915473938,-37.49328496824157,1024
8,3500,3500,347.87042140960693,20.16953342376147,1024
9,4000,4000,422.0500979423523,-8.2922868726471,1024
10,4500,4500,493.47152161598206,196.87174052189147,1024
11,5000,5000,571.1638510227203,25.604023291832803,1024
12,5500,5500,643.516179561615,345.31220440058695,1024
13,6000,6000,715.8349397182465,651.3038285155109,1024
14,6500,6500,789.2159836292267,748.9276093522675,1024
15,7000,7000,862.2924938201904,-333.07121496422246,1024
16,7500,7500,933.8336210250854,971.786852745382,1024
17,8000,8000,1010.9741816520691,1252.6444505300456,1024
18,8500,8500,1085.3531424999237,1435.88597532648,1024
19,9000,9000,1157.2732291221619,1499.7906379949227,1024
20,9500,9500,1232.6007659435272,1751.1497261426211,1024
21,10000,10000,1310.6850793361664,1926.9959324888532,1024
22,10500,10500,1383.8364324569702,1980.966218801117,1024
23,11000,11000,1456.1560473442078,1989.7749182534412,1024
24,11500,11500,1529.9781658649445,2032.760358595458,1024
25,12000,12000,1603.252492904663,2332.8941106637067,1024
26,12500,12500,1675.4786384105682,1468.107170581277,1024
27,13000,13000,1749.8180401325226,2513.7405767594737,1024
28,13500,13500,1824.9179356098175,657.8329155919778,1024
29,14000,14000,1899.473644733429,2600.1112277894126,1024
30,14500,14500,1978.1995344161987,2788.4002135045025,1024
31,15000,15000,2052.5899665355682,2674.094663668304,1024
