episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.4899129867553711,-171.6367885454046,0
2,500,500,0.7536778450012207,-220.1862180327097,0
3,1000,1000,0.9933617115020752,-235.78245510463677,0
4,1500,1500,1.227205753326416,-218.18723562790197,0
5,2000,2000,120.6517698764801,-487.9734731961328,38
6,2500,2500,178.5684494972229,-107.1516328909609,54
7,3000,3000,233.77444052696228,-69.22891881534088,52
8,3500,3500,291.1033799648285,155.75393895211334,74
9,4000,4000,351.3823299407959,-95.09046528581865,75
10,4500,4500,411.7841718196869,195.20917334639813,82
11,5000,5000,467.8061602115631,208.502321728756,94
12,5500,5500,525.187079668045,350.83593233463904,105
13,6000,6000,584.3555240631104,486.39492775259623,108
14,6500,6500,642.8816041946411,498.2768328345109,102
15,7000,7000,700.5014584064484,741.3852366600265,98
16,7500,7500,755.6802122592926,757.0374295866818,108
17,8000,8000,812.8246233463287,914.1115877779948,112
18,8500,8500,874.0528185367584,930.1859337571422,100
19,9000,9000,932.2382507324219,74.02562546263354,106
20,9500,9500,987.6353867053986,903.1604407575987,111
21,10000,10000,1045.2115108966827,1543.4701008060465,107
22,10500,10500,1106.9200494289398,1879.5306173643296,116
23,11000,11000,1163.046383857727,555.5304107792567,122
24,11500,11500,1220.338653087616,1817.570267113585,110
25,12000,12000,1277.1989443302155,1409.4700138233165,121
26,12500,12500,1338.1368935108185,632.8659469658045,118
27,13000,13000,1395.1314148902893,1711.4922356368677,128
28,13500,13500,1452.8283107280731,2004.545278743502,126
29,14000,14000,1510.2144751548767,1944.3615693055924,134
30,14500,14500,1566.1812891960144,2261.051154279908,125
31,15000,15000,1625.5622630119324,2315.3691605422837,129
