episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.1205759048461914,-1771.1797296983405,256
2,200,200,0.22362327575683594,-1803.39167548281,256
3,400,400,0.32572174072265625,-1755.6729699117031,256
4,600,600,0.4080054759979248,-1801.1741582901093,256
5,800,800,57.80913281440735,-1669.1637850554957,256
6,1000,1000,83.55448937416077,-1339.6569651347822,256
7,1200,1200,109.36048889160156,-1318.3143584191257,256
8,1400,1400,135.111478805542,-1176.2653821637793,256
9,1600,1600,162.04326963424683,-1285.7094276825694,256
10,1800,1800,188.31969738006592,-1144.0726460893309,256
11,2000,2000,215.05591225624084,-486.340396313413,256
12,2200,2200,241.6074550151825,-483.05149796857773,256
13,2400,2400,268.28877329826355,-479.4135639357218,256
14,2600,2600,295.307724237442,-1234.3907858029677,256
15,2800,2800,322.18666338920593,-1161.2086880665695,256
16,3000,3000,349.11339259147644,-633.8214709317888,256
