episode,step,env_step,total_time,episode_reward
1,0,0,0.1376335620880127,-1265.8085985282614
2,200,200,0.22926735877990723,-1281.6093530726107
3,400,400,0.35016465187072754,-1283.4789041445651
4,600,600,0.43825197219848633,-1350.115842803025
5,800,800,61.745441913604736,-1091.03568792983
6,1000,1000,91.78607821464539,-888.4731319457119
7,1200,1200,122.54203724861145,-588.2215225918887
8,1400,1400,154.43639516830444,-238.05035694717066
9,1600,1600,185.53617358207703,-238.60391967789502
10,1800,1800,217.65687227249146,-238.65877917586855
11,2000,2000,249.89401245117188,-239.0033211078369
12,2200,2200,282.72384548187256,-239.03828028682022
13,2400,2400,315.0538673400879,-239.4655237868329
14,2600,2600,348.0858132839203,-240.17903641498916
15,2800,2800,381.84519147872925,-239.17208512873893
16,3000,3000,414.80229115486145,-238.89046326357212
