episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.12007832527160645,-1597.8348628006875,0
2,200,200,0.21603894233703613,-1588.163679062567,0
3,400,400,0.3176898956298828,-1542.9157976509948,0
4,600,600,0.39987993240356445,-1591.6844395186379,0
5,800,800,48.991387367248535,-1419.0935591663563,0
6,1000,1000,69.4402334690094,-1281.7906732458694,0
7,1200,1200,89.55973243713379,-1151.9407464175881,0
8,1400,1400,108.79165840148926,-1104.3497313502598,0
9,1600,1600,128.35519886016846,-884.3436982565958,0
10,1800,1800,148.1596257686615,-856.2626910765914,0
11,2000,2000,166.74019718170166,-475.96983798911384,0
12,2200,2200,185.73541140556335,-474.3057663391574,0
13,2400,2400,204.92758774757385,-472.7181552330842,0
14,2600,2600,225.24391651153564,-478.28462045771875,0
15,2800,2800,244.53217887878418,-482.18219288555997,0
16,3000,3000,263.31808590888977,-483.27027467992883,0
