episode,step,env_step,total_time,episode_reward
1,0,0,0.0999917984008789,-1771.1797296983405
2,200,200,0.1762382984161377,-1803.39167548281
3,400,400,0.25249791145324707,-1755.6729699117031
4,600,600,0.3221588134765625,-1801.1741582901093
5,800,800,49.126280307769775,-1669.163784740323
6,1000,1000,67.83021640777588,-1352.7585378871358
7,1200,1200,86.11414837837219,-1258.134065721909
8,1400,1400,104.1420521736145,-1328.905734746446
9,1600,1600,122.3849265575409,-1338.2805619637377
10,1800,1800,141.0649049282074,-1337.688632199431
11,2000,2000,160.5976378917694,-1305.775412502354
12,2200,2200,178.8121156692505,-1300.3289435244894
13,2400,2400,196.7682499885559,-1100.9025223314106
14,2600,2600,215.00491571426392,-1200.4064402549986
15,2800,2800,233.83649587631226,-1283.528780229703
16,3000,3000,252.2484061717987,-1178.6766903349273
