episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.11932730674743652,-909.6811093647008,512
2,200,200,0.20398426055908203,-776.1237972533586,512
3,400,400,0.29056644439697266,-951.0544161415422,512
4,600,600,0.3777022361755371,-991.2850611037533,512
5,800,800,62.33276295661926,-1369.3850886230755,512
6,1000,1000,91.54647088050842,-751.3857719969594,512
7,1200,1200,121.77340245246887,-127.16648294013359,512
8,1400,1400,149.99260711669922,-126.82832594318317,512
9,1600,1600,179.08799600601196,-127.14457065355965,474
10,1800,1800,207.89759945869446,-126.68883157675582,430
11,2000,2000,238.37645363807678,-126.429840473816,402
12,2200,2200,266.9482591152191,-126.42091260947777,365
13,2400,2400,297.9147455692291,-126.46913661614553,339
14,2600,2600,326.58601093292236,-126.34129414016488,314
15,2800,2800,352.7511508464813,-126.68724268578609,297
16,3000,3000,378.52817249298096,-126.00604623390174,278
