episode,step,env_step,total_time,episode_reward
1,0,0,0.1342482566833496,-1597.8348628006875
2,200,200,0.22001147270202637,-1588.163679062567
3,400,400,0.3028435707092285,-1542.9157976509948
4,600,600,0.3800513744354248,-1591.6844395186379
5,800,800,54.522812366485596,-1419.0935561323329
6,1000,1000,79.45132851600647,-1293.459944378451
7,1200,1200,105.69733452796936,-979.7080769102492
8,1400,1400,133.60344314575195,-609.0392992461433
9,1600,1600,162.0594699382782,-480.6826665749875
10,1800,1800,191.25026774406433,-481.3625768628135
11,2000,2000,221.87711763381958,-478.3989622161877
12,2200,2200,250.78328251838684,-476.88302016870176
13,2400,2400,280.166366815567,-476.5997769471483
14,2600,2600,307.73276352882385,-476.58590429851745
15,2800,2800,336.24267768859863,-479.53738990319073
16,3000,3000,364.2146215438843,-480.05621749191965
