episode,step,env_step,total_time,episode_reward
1,0,0,0.11353754997253418,-909.6811093647008
2,200,200,0.2039356231689453,-776.1237972533586
3,400,400,0.2721130847930908,-951.0544161415422
4,600,600,0.34805989265441895,-991.2850611037533
5,800,800,207.3733434677124,-1369.385087673686
6,1000,1000,1140.2183895111084,-1026.0561968712389
7,1200,1200,2073.452960252762,-383.29130560209074
8,1400,1400,2999.1971266269684,-126.86469585593142
9,1600,1600,3910.20169878006,-127.07799247724606
10,1800,1800,4819.171744585037,-126.42395660501619
11,2000,2000,5732.1923587322235,-126.36384656603306
12,2200,2200,6644.533988237381,-126.84772188207829
13,2400,2400,7555.632897138596,-127.11565225142479
14,2600,2600,8266.108276367188,-126.92024523776912
15,2800,2800,8866.553446531296,-125.75635604994582
16,3000,3000,9387.115633964539,-125.93895805760818
