episode,step,env_step,total_time,episode_reward
1,0,0,0.11398839950561523,-909.6811093647008
2,200,200,0.19397521018981934,-776.1237972533586
3,400,400,0.27374911308288574,-951.0544161415422
4,600,600,0.35201144218444824,-991.2850611037533
5,800,800,55.731842279434204,-1369.385087673686
6,1000,1000,82.72531270980835,-980.9663851676296
7,1200,1200,112.03236413002014,-1080.7868216831625
8,1400,1400,140.8108787536621,-986.5202999465641
9,1600,1600,167.43574357032776,-130.79896528803943
10,1800,1800,195.14170503616333,-130.69481671873888
11,2000,2000,222.3905689716339,-127.370020389715
12,2200,2200,250.5668866634369,-128.0874798955606
13,2400,2400,278.65710949897766,-129.6955124020035
14,2600,2600,308.53814363479614,-127.45624078066479
15,2800,2800,338.42111921310425,-127.3769000926306
16,3000,3000,367.11248540878296,-376.36207843500586
