episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.11447906494140625,-1771.1797296983405,256
2,200,200,0.21062803268432617,-1803.39167548281,256
3,400,400,0.29797935485839844,-1755.6729699117031,256
4,600,600,0.3814868927001953,-1801.1741582901093,256
5,800,800,58.69034123420715,-1669.1637850554957,71
6,1000,1000,84.778076171875,-1329.3375785208248,145
7,1200,1200,111.31806015968323,-1282.3330613345843,201
8,1400,1400,138.57167840003967,-1100.5298622310852,226
9,1600,1600,165.28401494026184,-1155.2574456276723,228
10,1800,1800,192.56259989738464,-1080.982233195451,210
11,2000,2000,219.30935430526733,-1116.240440720858,224
12,2200,2200,246.57312941551208,-1179.8403424329206,256
13,2400,2400,274.09199571609497,-984.4225698583248,198
14,2600,2600,301.3500611782074,-997.4745925949771,166
15,2800,2800,328.3346827030182,-973.5503589052705,151
16,3000,3000,356.29240107536316,-786.7689767615478,256
