episode,step,env_step,total_time,episode_reward
1,0,0,0.11872625350952148,-1163.2867886560791
2,200,200,0.2254657745361328,-1070.5325101373842
3,400,400,0.31888699531555176,-1178.1498552855467
4,600,600,0.42641615867614746,-1173.4176746693497
5,800,800,57.41312646865845,-1223.977626456792
6,1000,1000,81.73028612136841,-864.1674900178732
7,1200,1200,105.76333284378052,-624.0627911284354
8,1400,1400,129.4413640499115,-244.70906836991747
9,1600,1600,154.24561166763306,-242.92351435176332
10,1800,1800,177.9834098815918,-119.01401660863576
11,2000,2000,203.93700528144836,-119.5682718484703
12,2200,2200,228.32369256019592,-119.47503452958321
13,2400,2400,254.5051784515381,-245.28039805022598
14,2600,2600,280.5237066745758,-243.06142596414622
15,2800,2800,305.06014800071716,-245.63421077998106
16,3000,3000,329.7962853908539,-120.21283035262557
