episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.10906434059143066,-1265.8085985282614,256
2,200,200,0.19594955444335938,-1281.6093530726107,256
3,400,400,0.28169727325439453,-1283.4789041445651,256
4,600,600,0.37480831146240234,-1350.115842803025,256
5,800,800,56.73845815658569,-1091.0356994748463,14
6,1000,1000,80.70059537887573,-371.7488143020524,17
7,1200,1200,104.88972568511963,-238.0509536549416,15
8,1400,1400,128.98496508598328,-488.52287432449646,17
9,1600,1600,152.8587827682495,-848.7261600381811,24
10,1800,1800,177.02655792236328,-239.53855708647654,18
11,2000,2000,201.6919183731079,-363.18933206261306,19
12,2200,2200,226.30375504493713,-364.7272812465551,21
13,2400,2400,251.2275948524475,-236.79748047782505,20
14,2600,2600,275.52130341529846,-237.04885019075394,22
15,2800,2800,300.0510561466217,-236.84571888041097,22
16,3000,3000,324.53354382514954,-238.6728424514141,31
