episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.17397189140319824,-1163.2867886560791,256
2,200,200,0.2517874240875244,-1070.5325101373842,256
3,400,400,0.32824110984802246,-1178.1498552855467,256
4,600,600,0.40430140495300293,-1173.4176746693497,256
5,800,800,96.07042622566223,-1223.977627989996,11
6,1000,1000,133.0457408428192,-249.13852514839846,14
7,1200,1200,170.407541513443,-496.67990270985626,16
8,1400,1400,208.28472304344177,-243.72265224459673,16
9,1600,1600,246.4846317768097,-118.8936692645046,17
10,1800,1800,284.55071234703064,-118.81935881669058,15
11,2000,2000,322.7531545162201,-122.22183799731269,21
12,2200,2200,362.44701313972473,-120.67028015276411,22
13,2400,2400,402.5925118923187,-246.8818783646833,20
14,2600,2600,442.8554699420929,-243.24041887083246,22
15,2800,2800,483.8838927745819,-246.17400102047347,22
16,3000,3000,526.546745300293,-120.3184587897742,23
