episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.11810946464538574,-1771.1797296983405,0
2,200,200,0.20956969261169434,-1803.39167548281,0
3,400,400,0.28888797760009766,-1755.6729699117031,0
4,600,600,0.3690917491912842,-1801.1741582901093,0
5,800,800,40.00388240814209,-1669.1637850554957,0
6,1000,1000,69.85613799095154,-1337.575022137864,0
7,1200,1200,107.71935653686523,-1114.8219965768963,0
8,1400,1400,140.69253587722778,-1123.5304612882153,0
9,1600,1600,176.18925619125366,-1364.6347395293349,0
10,1800,1800,210.30908513069153,-999.2160374022352,0
11,2000,2000,242.88896417617798,-1080.0130939850205,0
12,2200,2200,273.35916471481323,-984.194283694511,0
13,2400,2400,306.91684079170227,-853.0971057735117,0
14,2600,2600,340.49745535850525,-974.9088596721181,0
15,2800,2800,375.0464005470276,-1275.4463651305302,0
16,3000,3000,415.7474205493927,-1118.190163592504,0
