episode,step,env_step,total_time,episode_reward
1,0,0,0.15194368362426758,-1597.8348628006875
2,200,200,23.266743183135986,-1514.775781487988
3,400,400,54.069100856781006,-1256.0889373899047
4,600,600,87.74521374702454,-1144.611347251882
5,800,800,137.54629826545715,-933.8378355745257
6,1000,1000,196.97330141067505,-1089.1261613775225
7,1200,1200,254.0515820980072,-480.672301336137
8,1400,1400,288.67066836357117,-1115.9858211376907
9,1600,1600,322.03355741500854,-899.9982220445061
10,1800,1800,355.5367488861084,-989.4320076250384
11,2000,2000,389.51445055007935,-471.793389658358
12,2200,2200,423.73976731300354,-477.4032763769637
13,2400,2400,457.1977639198303,-471.9870456204029
14,2600,2600,490.21521186828613,-470.1330313726893
15,2800,2800,524.0215828418732,-472.90072900592475
16,3000,3000,557.7372035980225,-477.4502392357523
