episode,step,env_step,total_time,episode_reward
1,0,0,0.1219172477722168,-1597.8348628006875
2,200,200,17.429388284683228,-1514.775781487988
3,400,400,40.97303056716919,-1259.6852835183388
4,600,600,66.03062772750854,-1146.624147692404
5,800,800,93.3684561252594,-1011.860209850398
6,1000,1000,123.14364218711853,-916.7103186446549
7,1200,1200,151.66417980194092,-656.8073239653318
8,1400,1400,181.05581784248352,-486.0119234153197
9,1600,1600,210.15928149223328,-1002.0844994800162
10,1800,1800,239.31030583381653,-976.835879790981
11,2000,2000,268.7693977355957,-867.4356377400172
12,2200,2200,299.920916557312,-984.3782439465435
13,2400,2400,329.04090094566345,-474.6477648868984
14,2600,2600,358.3439140319824,-474.62764215300905
15,2800,2800,388.0498638153076,-473.5008970926276
16,3000,3000,417.22456431388855,-474.5746340246088
