episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.1570436954498291,-1771.1797296983405,256
2,200,200,0.25170159339904785,-1803.39167548281,256
3,400,400,0.33565664291381836,-1755.6729699117031,256
4,600,600,0.4137449264526367,-1801.1741582901093,256
5,800,800,40.84734272956848,-1669.1637850554957,181
6,1000,1000,59.4218590259552,-1361.4459840701052,256
7,1200,1200,78.20978307723999,-1249.2815672037677,256
8,1400,1400,96.97289729118347,-1174.3287852878059,256
9,1600,1600,120.07200932502747,-1075.4405755725816,256
10,1800,1800,141.01948738098145,-1156.4797277739724,256
11,2000,2000,162.08698797225952,-1144.1432704580527,256
12,2200,2200,182.71789598464966,-1126.9130376873977,256
13,2400,2400,204.56718397140503,-1009.7259706002759,256
14,2600,2600,225.57670831680298,-1159.4550583380503,246
15,2800,2800,245.12446808815002,-1095.8871859031658,232
16,3000,3000,263.67105317115784,-1124.9373027520985,216
