episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.13390254974365234,-1597.8348628006875,256
2,200,200,0.2485198974609375,-1588.163679062567,256
3,400,400,0.36041760444641113,-1542.9157976509948,256
4,600,600,0.474196195602417,-1591.6844395186379,256
5,800,800,56.472389221191406,-1419.0935591663563,256
6,1000,1000,81.5241527557373,-1361.049373577076,256
7,1200,1200,106.14667534828186,-1322.0908809158502,256
8,1400,1400,130.8964719772339,-1286.8935966987535,256
9,1600,1600,155.55690026283264,-1258.5321751703602,256
10,1800,1800,180.73683285713196,-1205.198159853895,256
11,2000,2000,206.26989841461182,-1043.8717562944064,256
12,2200,2200,231.56786727905273,-1128.935632396755,256
13,2400,2400,257.47047901153564,-990.3474719071182,251
14,2600,2600,282.43427753448486,-990.7866402522953,240
15,2800,2800,308.4097921848297,-859.8641860317571,242
16,3000,3000,333.86169385910034,-736.0721422274877,224
