episode,step,env_step,total_time,episode_reward
1,0,0,0.10474205017089844,-1764.9438989377898
2,200,200,28.662872076034546,-1714.2285322432674
3,400,400,76.5576388835907,-1346.6676505152059
4,600,600,122.74721837043762,-1343.3820464755368
5,800,800,170.90596985816956,-1185.294468919978
6,1000,1000,221.1096580028534,-967.2269398171712
7,1200,1200,271.30145359039307,-1033.0543727828149
8,1400,1400,321.945597410202,-791.1883267166367
9,1600,1600,372.56204319000244,-774.4573359031523
10,1800,1800,424.12434124946594,-511.717452169954
11,2000,2000,476.2512137889862,-1106.2898174097927
12,2200,2200,528.4362387657166,-1044.33148236503
13,2400,2400,581.9598162174225,-1022.664802829442
14,2600,2600,635.5439183712006,-1014.2414996386674
15,2800,2800,690.4287419319153,-1033.2004024629891
16,3000,3000,748.1132113933563,-1059.0904270005997
