episode,step,env_step,total_time,episode_reward
1,0,0,0.10593271255493164,-909.6811093647008
2,200,200,16.38249182701111,-1380.518659037731
3,400,400,38.53105163574219,-652.4243584406922
4,600,600,62.15373873710632,-1070.9787262395223
5,800,800,90.14602470397949,-1008.9563258981249
6,1000,1000,118.14967656135559,-883.6789456257576
7,1200,1200,145.7737374305725,-756.9463630969881
8,1400,1400,173.39378929138184,-759.03763523145
9,1600,1600,203.6585500240326,-130.36001963729964
10,1800,1800,234.42687940597534,-125.89397209400946
11,2000,2000,261.7409610748291,-125.88777659550388
12,2200,2200,289.2255928516388,-125.83655901146476
13,2400,2400,316.95658349990845,-126.14165364491174
14,2600,2600,344.7842655181885,-126.86596054594528
15,2800,2800,373.0105745792389,-126.93477592003586
16,3000,3000,401.5908341407776,-128.1203202890852
