episode,step,env_step,total_time,episode_reward
1,0,0,0.15492773056030273,-1265.8085985282614
2,200,200,17.782527923583984,-1163.0083473065558
3,400,400,44.57112669944763,-1674.1938307941568
4,600,600,72.99103808403015,-1316.9537056774227
5,800,800,103.67801690101624,-1124.1170626099938
6,1000,1000,132.58024549484253,-927.0551705684891
7,1200,1200,160.708016872406,-363.03376562219086
8,1400,1400,188.81201648712158,-235.71357229172744
9,1600,1600,216.9027223587036,-237.92472317953425
10,1800,1800,246.5364875793457,-237.71544314083013
11,2000,2000,275.5440616607666,-236.80390271743516
12,2200,2200,304.4013135433197,-236.0109494518864
13,2400,2400,333.4716727733612,-235.48603090693848
14,2600,2600,362.53281807899475,-235.83630409265712
15,2800,2800,392.4631567001343,-235.1382339282057
16,3000,3000,420.5840995311737,-235.10641594097888
