episode,step,env_step,total_time,episode_reward
1,0,0,0.15287566184997559,-849.0011163159719
2,200,200,16.992180347442627,-1384.1189823015109
3,400,400,38.49821138381958,-1394.902552042323
4,600,600,61.344993114471436,-4.338968013630644
5,800,800,86.00379991531372,-2.885813240213593
6,1000,1000,112.5501480102539,-0.5604151431250597
7,1200,1200,138.63048815727234,-0.9509818946525224
8,1400,1400,164.0237102508545,-2.7390323200024973
9,1600,1600,189.7406075000763,-2.9915717584768338
10,1800,1800,214.7319142818451,-2.9062757321828925
11,2000,2000,240.07658767700195,-3.1128077969924672
12,2200,2200,266.47913908958435,-1.695207618881784
13,2400,2400,292.9213869571686,-3.035620905503374
14,2600,2600,319.32785153388977,-3.175645342025726
15,2800,2800,345.3399612903595,-3.2187353820647973
16,3000,3000,371.552330493927,-2.140416931322712
