episode,step,env_step,total_time,episode_reward
1,0,0,0.10657143592834473,-1163.2867886560791
2,200,200,10.473109006881714,-1192.059722739153
3,400,400,25.449151039123535,-1596.829647714847
4,600,600,42.41697692871094,-1199.4131836948102
5,800,800,59.9021258354187,-1032.872062130184
6,1000,1000,77.20605778694153,-245.11192252674337
7,1200,1200,94.73038649559021,-245.74000200661308
8,1400,1400,112.0867121219635,-248.07890326985552
9,1600,1600,129.4971387386322,-121.27767051516467
10,1800,1800,147.13835334777832,-119.2421898835499
11,2000,2000,164.3296411037445,-120.82561560068334
12,2200,2200,181.16549158096313,-244.7759667925575
13,2400,2400,198.24836945533752,-499.81844073704394
14,2600,2600,215.2315034866333,-122.0338993331331
15,2800,2800,232.52442002296448,-246.27410317089758
16,3000,3000,250.0288209915161,-122.0018422026968
