episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.10876035690307617,-909.6811093647008,512
2,200,200,0.20500755310058594,-776.1237972533586,512
3,400,400,0.29648566246032715,-951.0544161415422,512
4,600,600,0.390899658203125,-991.2850611037533,512
5,800,800,60.8226432800293,-1369.3850886230755,512
6,1000,1000,89.17440867424011,-127.93934881926945,512
7,1200,1200,118.04404473304749,-127.6084061592116,512
8,1400,1400,148.16236424446106,-126.97383376757905,512
9,1600,1600,177.91812682151794,-127.25965425074658,512
10,1800,1800,209.16842365264893,-126.57825308340962,512
11,2000,2000,240.65109062194824,-126.3722847283715,512
12,2200,2200,273.60530734062195,-126.39660160319744,512
13,2400,2400,306.3929691314697,-126.88773331991618,512
14,2600,2600,340.08120489120483,-126.26811888088409,512
15,2800,2800,373.7272439002991,-126.37429369752074,512
16,3000,3000,409.1656310558319,-126.42180314010822,512
