episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.10933446884155273,-1265.8085985282614,0
2,200,200,0.18692517280578613,-1281.6093530726107,0
3,400,400,0.2602357864379883,-1283.4789041445651,0
4,600,600,0.34024834632873535,-1350.115842803025,0
5,800,800,44.471489667892456,-1091.0356994748463,0
6,1000,1000,61.483582973480225,-373.24789064284397,0
7,1200,1200,78.245121717453,-405.0979974807725,0
8,1400,1400,95.07724905014038,-239.0050990856779,0
9,1600,1600,111.76119756698608,-615.9214784774424,0
10,1800,1800,128.99687147140503,-237.1887481930809,0
11,2000,2000,146.59783697128296,-236.81550603353148,0
12,2200,2200,164.37035393714905,-238.89774682030352,0
13,2400,2400,181.88322758674622,-241.25532299687674,0
14,2600,2600,198.98020601272583,-239.00406686788267,0
15,2800,2800,216.51156282424927,-237.25541754414468,0
16,3000,3000,234.12064719200134,-237.4155006618874,0
