episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.12193083763122559,-1771.1797296983405,512
2,200,200,0.20659828186035156,-1803.39167548281,512
3,400,400,0.28952765464782715,-1755.6729699117031,512
4,600,600,0.3681490421295166,-1801.1741582901093,512
5,800,800,58.03396511077881,-1669.1637850554957,183
6,1000,1000,84.2820816040039,-1328.727796943393,311
7,1200,1200,112.60672450065613,-1329.169758233836,408
8,1400,1400,139.82257294654846,-1297.3047505771399,429
9,1600,1600,168.08001947402954,-1261.0287303253278,403
10,1800,1800,195.37792015075684,-1172.0658598111245,366
11,2000,2000,222.64894580841064,-1141.0067119103294,345
12,2200,2200,249.86831879615784,-1293.953110923679,322
13,2400,2400,277.16440534591675,-1178.774395779352,308
14,2600,2600,304.71253538131714,-1278.1881483285947,293
15,2800,2800,331.9474618434906,-867.7691921320379,281
16,3000,3000,360.20437502861023,-754.5310625770394,266
