episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.12019014358520508,-1771.1797296983405,512
2,200,200,0.2138824462890625,-1803.39167548281,512
3,400,400,0.3050229549407959,-1755.6729699117031,512
4,600,600,0.3889954090118408,-1801.1741582901093,512
5,800,800,58.34248948097229,-1669.1637850554957,71
6,1000,1000,83.98414444923401,-1329.3375785208248,145
7,1200,1200,110.52733874320984,-1282.3330613345843,201
8,1400,1400,137.2982747554779,-1100.5298622310852,226
9,1600,1600,164.57410597801208,-1155.2574456276723,228
10,1800,1800,192.75697255134583,-1080.982233195451,210
11,2000,2000,220.8861243724823,-1116.240440720858,224
12,2200,2200,248.91569352149963,-1179.8403424329206,257
13,2400,2400,277.0768356323242,-985.372043790011,191
14,2600,2600,306.0372428894043,-859.344283345858,247
15,2800,2800,333.60594964027405,-849.613091858922,192
16,3000,3000,360.5756480693817,-1108.4368513768293,140
