episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.142592191696167,-1771.1797296983405,512
2,200,200,0.22355413436889648,-1803.39167548281,512
3,400,400,0.32253527641296387,-1755.6729699117031,512
4,600,600,0.4077003002166748,-1801.1741582901093,512
5,800,800,59.74447178840637,-1669.1637850554957,16
6,1000,1000,84.05404734611511,-1332.0304292371181,25
7,1200,1200,108.01399970054626,-1171.213653008526,28
8,1400,1400,132.4482228755951,-1252.1126074772274,26
9,1600,1600,156.66213750839233,-1051.9328003323233,27
10,1800,1800,180.63395357131958,-1137.9882720291446,26
11,2000,2000,204.64536333084106,-1098.4301271098223,28
12,2200,2200,228.8678674697876,-998.3770259729788,30
13,2400,2400,253.6387495994568,-989.8193798752449,30
14,2600,2600,279.02163100242615,-884.1415066121094,27
15,2800,2800,304.209689617157,-1155.413289782006,28
16,3000,3000,329.67256927490234,-859.5255808158572,30
