episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.14851164817810059,-1265.8085985282614,512
2,200,200,0.2300403118133545,-1281.6093530726107,512
3,400,400,0.30716466903686523,-1283.4789041445651,512
4,600,600,0.384537935256958,-1350.115842803025,512
5,800,800,98.32111954689026,-1091.0356994748463,14
6,1000,1000,135.47426199913025,-1118.6732475714177,15
7,1200,1200,173.65769267082214,-1078.3384924461216,21
8,1400,1400,211.52336406707764,-359.8634187845658,17
9,1600,1600,249.19045519828796,-237.14521763853105,19
10,1800,1800,287.2422275543213,-854.0025956881232,23
11,2000,2000,327.1637816429138,-610.1554408328918,22
12,2200,2200,367.20060682296753,-856.7506074593127,23
13,2400,2400,407.95598340034485,-240.67976707167605,26
14,2600,2600,449.2897777557373,-491.2603675489422,27
15,2800,2800,490.91626024246216,-239.19783597940807,28
16,3000,3000,534.1496298313141,-490.8424122141815,28
