episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.12030148506164551,-1771.1797296983405,512
2,200,200,0.20323634147644043,-1803.39167548281,512
3,400,400,0.28971052169799805,-1755.6729699117031,512
4,600,600,0.377269983291626,-1801.1741582901093,512
5,800,800,43.36039161682129,-1669.1637850554957,181
6,1000,1000,63.19598722457886,-1361.4459840701052,264
7,1200,1200,86.90751004219055,-1245.0500710231042,320
8,1400,1400,111.38833284378052,-1137.7567524042115,330
9,1600,1600,133.1502423286438,-1105.8359715937263,318
10,1800,1800,152.66804432868958,-1140.648230047422,311
11,2000,2000,175.07716178894043,-1131.1639666262595,287
12,2200,2200,198.33450865745544,-1006.9206584124105,272
13,2400,2400,220.40037298202515,-877.1613631683775,252
14,2600,2600,244.1061713695526,-875.0119021183731,234
15,2800,2800,268.4511618614197,-876.0110193653818,222
16,3000,3000,291.3931522369385,-877.4855326742247,210
