episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.14106392860412598,-909.6811093647008,512
2,200,200,0.23129630088806152,-776.1237972533586,512
3,400,400,0.31843137741088867,-951.0544161415422,512
4,600,600,0.3909769058227539,-991.2850611037533,512
5,800,800,58.070109844207764,-1369.3850886230755,512
6,1000,1000,84.80906701087952,-770.2569793610487,512
7,1200,1200,111.25420665740967,-126.8919232266599,512
8,1400,1400,138.22174501419067,-126.53313286723315,512
9,1600,1600,165.8233597278595,-126.97705013629142,502
10,1800,1800,194.06600546836853,-126.63693857908521,466
11,2000,2000,222.28122305870056,-126.14884567931736,438
12,2200,2200,250.01283740997314,-126.28860094378746,411
13,2400,2400,277.4825949668884,-126.54951901262457,385
14,2600,2600,304.6577298641205,-126.32048047758938,356
15,2800,2800,331.73108649253845,-126.72826681837402,334
16,3000,3000,358.37734365463257,-125.74084145157548,316
