episode,step,env_step,total_time,episode_reward
1,0,0,0.2698192596435547,-87.98578777147219
2,100,100,0.3285210132598877,-72.95639170480887
3,200,200,0.374204158782959,-65.24662099554943
4,300,300,0.42406272888183594,-71.95372453902907
5,400,400,45.23651385307312,-127.45530936009212
6,500,500,67.85625505447388,-82.63191477069525
7,600,600,90.25549483299255,-71.52502976238914
8,700,700,112.57204675674438,-60.28062848096365
9,800,800,135.1240577697754,-53.1404908873526
10,900,900,158.5852882862091,-52.16413628253604
11,1000,1000,183.1133553981781,-49.01892620957855
12,1100,1100,207.64073729515076,-49.4730429114205
13,1200,1200,231.8292579650879,-44.39504216711477
14,1300,1300,255.06631636619568,-42.749994735798694
15,1400,1400,278.3345868587494,-42.4740680606704
16,1500,1500,300.9665615558624,-43.11114453031152
17,1600,1600,323.74327516555786,-39.300200180950604
18,1700,1700,346.7333104610443,-37.99938959099527
19,1800,1800,369.2371599674225,-38.38567322832277
20,1900,1900,392.52732515335083,-37.54697375519542
21,2000,2000,416.896595954895,-39.492500827422624
22,2100,2100,441.3644640445709,-37.91004797544249
23,2200,2200,465.2314462661743,-37.65563582078848
24,2300,2300,490.47146463394165,-37.36551403599956
25,2400,2400,514.593220949173,-37.38924498586453
26,2500,2500,537.7989757061005,-36.92995952470416
27,2600,2600,561.0682640075684,-35.55862925296617
28,2700,2700,584.4151339530945,-35.551845401218294
29,2800,2800,607.5908768177032,-36.62689469887479
30,2900,2900,631.6265225410461,-35.779558070847784
31,3000,3000,657.1574795246124,-35.40440003391705
