episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.3391904830932617,-81.39157754459579,0
2,100,100,0.408022403717041,-80.51169851930267,0
3,200,200,0.4675440788269043,-87.18426789108172,0
4,300,300,0.5318377017974854,-88.77019695822001,0
5,400,400,0.6002457141876221,-84.9599661922124,0
6,500,500,0.6557226181030273,-88.75785052127375,0
7,600,600,0.713050127029419,-83.70079751393618,0
8,700,700,0.7676608562469482,-85.03512067484557,0
9,800,800,48.55110716819763,-119.1855463861528,256
10,900,900,61.47494101524353,-75.86813541227924,256
11,1000,1000,73.30196189880371,-82.62004333169497,256
12,1100,1100,84.9807996749878,-78.10005153039296,256
13,1200,1200,98.31242060661316,-70.47238882296611,256
14,1300,1300,109.12574124336243,-66.25550812638926,256
15,1400,1400,121.7090516090393,-67.5640274815362,256
16,1500,1500,133.30351090431213,-66.76902258677936,256
17,1600,1600,144.9700014591217,-65.71407959023176,256
18,1700,1700,158.1064395904541,-68.82701001581249,256
19,1800,1800,169.7890326976776,-65.4817165244626,256
20,1900,1900,181.7032129764557,-62.47531932248706,256
21,2000,2000,194.9241840839386,-63.6947176933416,256
22,2100,2100,206.63060760498047,-63.182193306731875,256
23,2200,2200,218.34457564353943,-61.52555181243184,256
24,2300,2300,231.81200051307678,-61.40504803004173,256
25,2400,2400,244.1371500492096,-67.04757788552459,256
26,2500,2500,258.65733075141907,-61.16521692285601,256
27,2600,2600,272.2390971183777,-61.79340158045079,256
28,2700,2700,285.5051827430725,-62.01580170161533,256
29,2800,2800,300.7565371990204,-61.18091688522877,256
30,2900,2900,313.59602761268616,-59.880754951232255,256
31,3000,3000,326.7395658493042,-61.833178848913505,256
