episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2926442623138428,-78.34414959392807,0
2,100,100,0.37186264991760254,-75.39560209902504,0
3,200,200,0.41736817359924316,-84.22581250361536,0
4,300,300,0.46529626846313477,-79.69829538345192,0
5,400,400,0.5130198001861572,-83.9800727382471,0
6,500,500,0.5595428943634033,-78.01284800946551,0
7,600,600,0.6085443496704102,-82.03937070459594,0
8,700,700,0.658156156539917,-82.17995792738128,0
9,800,800,50.14365911483765,-95.54174528923669,0
10,900,900,60.07532978057861,-60.69989244288079,0
11,1000,1000,69.84695339202881,-61.11184535876717,0
12,1100,1100,79.78541684150696,-63.435798628701704,0
13,1200,1200,89.91778993606567,-59.823012636560485,0
14,1300,1300,99.52486443519592,-59.375533774343765,0
15,1400,1400,109.39193654060364,-61.04160619704176,0
16,1500,1500,119.07019877433777,-60.06385046089727,0
17,1600,1600,128.64002060890198,-56.48416799187592,0
18,1700,1700,138.34916830062866,-55.253382378973214,0
19,1800,1800,148.00278043746948,-52.13745524549901,0
20,1900,1900,157.58264565467834,-49.84666046407254,0
21,2000,2000,167.27713298797607,-51.20892328681801,0
22,2100,2100,177.39839816093445,-49.38839935289872,0
23,2200,2200,188.50863814353943,-47.851603793974036,0
24,2300,2300,199.64486575126648,-48.413310719405295,0
25,2400,2400,211.07951068878174,-49.369004216514945,0
26,2500,2500,222.1437427997589,-48.93300806506364,0
27,2600,2600,232.441752910614,-46.98109950385832,0
28,2700,2700,242.326726436615,-49.694650976122055,0
29,2800,2800,251.9134976863861,-47.450888356955026,0
30,2900,2900,261.49624609947205,-68.13999212688648,0
31,3000,3000,271.3157305717468,-58.5163880113394,0
