episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.25878095626831055,-78.34414959392807,0
2,100,100,0.32184863090515137,-75.39560209902504,0
3,200,200,0.36214399337768555,-84.22581250361536,0
4,300,300,0.42026400566101074,-79.69829538345192,0
5,400,400,0.4674720764160156,-83.9800727382471,0
6,500,500,0.5110464096069336,-78.01284800946551,0
7,600,600,0.5513143539428711,-82.03937070459594,0
8,700,700,0.6023368835449219,-82.17995792738128,0
9,800,800,45.117326498031616,-95.54174528923669,256
10,900,900,56.09671425819397,-62.39783116738307,256
11,1000,1000,69.07825756072998,-72.00240827801144,256
12,1100,1100,79.30831933021545,-61.232706058592264,256
13,1200,1200,89.61973595619202,-60.86100558025984,256
14,1300,1300,102.13592958450317,-56.15948747517404,256
15,1400,1400,112.3779616355896,-57.30471160235366,256
16,1500,1500,122.7250394821167,-59.30211364636298,256
17,1600,1600,135.1272542476654,-53.24810098238933,256
18,1700,1700,145.5141477584839,-54.5695145984998,256
19,1800,1800,155.85736322402954,-52.24335821644956,256
20,1900,1900,168.70211267471313,-51.998919205388525,256
21,2000,2000,179.8803415298462,-49.22617358695934,256
22,2100,2100,190.5178644657135,-48.211864938479096,256
23,2200,2200,202.2776918411255,-49.50789988559056,256
24,2300,2300,217.0172824859619,-51.46521242268129,256
25,2400,2400,229.51335740089417,-48.02776429386944,256
26,2500,2500,240.6675455570221,-46.533125826179905,256
27,2600,2600,253.76062273979187,-46.86258557789481,256
28,2700,2700,264.51110076904297,-46.50609978472693,256
29,2800,2800,275.02560544013977,-46.99158025334874,256
30,2900,2900,287.59443259239197,-46.435870321429945,256
31,3000,3000,298.29093861579895,-47.03427169475644,256
