episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2777237892150879,-81.39157754459579,0
2,100,100,0.3488636016845703,-80.51169851930267,0
3,200,200,0.4037044048309326,-87.18426789108172,0
4,300,300,0.44524431228637695,-88.77019695822001,0
5,400,400,0.4967038631439209,-84.9599661922124,0
6,500,500,0.5627212524414062,-88.75785052127375,0
7,600,600,0.6193668842315674,-83.70079751393618,0
8,700,700,0.6874485015869141,-85.03512067484557,0
9,800,800,45.683058738708496,-119.1855463861528,58
10,900,900,56.36371946334839,-78.16724046920099,67
11,1000,1000,69.10368347167969,-85.89016693529473,62
12,1100,1100,79.87744116783142,-77.15860576230763,56
13,1200,1200,90.52056765556335,-68.91967818853733,57
14,1300,1300,103.2373514175415,-65.19486336366836,62
15,1400,1400,113.77481031417847,-81.63938025795743,62
16,1500,1500,124.3961808681488,-64.64101837828288,58
17,1600,1600,137.59272241592407,-62.061624052245826,53
18,1700,1700,150.69296264648438,-67.02343201421841,48
19,1800,1800,161.62833261489868,-71.33070348917072,53
20,1900,1900,175.07596969604492,-66.9073594611347,55
21,2000,2000,186.98350620269775,-61.796320907605626,47
22,2100,2100,200.34345865249634,-65.93387359160882,47
23,2200,2200,212.98546767234802,-64.9888778228614,43
24,2300,2300,223.95949840545654,-62.950119952282925,38
25,2400,2400,238.96548080444336,-62.40767920814987,35
26,2500,2500,250.43869924545288,-62.81232027237413,35
27,2600,2600,261.81893849372864,-66.20963372995492,37
28,2700,2700,272.6508626937866,-60.20704183910995,35
29,2800,2800,286.33871364593506,-63.86183858262621,34
30,2900,2900,297.0065107345581,-60.31987299316312,32
31,3000,3000,307.63285207748413,-59.635436933875816,28
