episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2605397701263428,-78.34414959392807,0
2,100,100,0.3126351833343506,-75.39560209902504,0
3,200,200,0.3569960594177246,-84.22581250361536,0
4,300,300,0.4088568687438965,-79.69829538345192,0
5,400,400,0.45501279830932617,-83.9800727382471,0
6,500,500,0.5030732154846191,-78.01284800946551,0
7,600,600,0.5505883693695068,-82.03937070459594,0
8,700,700,0.5988469123840332,-82.17995792738128,0
9,800,800,46.89707565307617,-95.54174528923669,14
10,900,900,57.12134552001953,-58.81428080270147,15
11,1000,1000,67.57440948486328,-59.43079216150284,14
12,1100,1100,78.07052302360535,-68.78906452320754,14
13,1200,1200,88.51187586784363,-57.97384571050748,14
14,1300,1300,105.7326672077179,-58.5905404881802,14
15,1400,1400,119.18021059036255,-52.9298015191757,14
16,1500,1500,129.8529827594757,-52.36594317603812,14
17,1600,1600,144.91893863677979,-54.58405834331877,14
18,1700,1700,156.40767788887024,-51.4829419281827,15
19,1800,1800,167.6113154888153,-48.62376113442691,14
20,1900,1900,182.1061999797821,-49.186515102871326,16
21,2000,2000,192.72856450080872,-51.71266146792069,17
22,2100,2100,203.17138290405273,-46.67949550720901,15
23,2200,2200,216.1272542476654,-48.574233319495114,15
24,2300,2300,226.3756914138794,-48.24339372007879,14
25,2400,2400,237.09107780456543,-49.38591861603004,14
26,2500,2500,249.86724376678467,-47.145623033037445,14
27,2600,2600,260.2524325847626,-49.57801671639273,15
28,2700,2700,270.66774129867554,-47.77685997656598,13
29,2800,2800,283.32110929489136,-48.40811303685754,15
30,2900,2900,293.76210474967957,-46.213214009573846,14
31,3000,3000,304.1548755168915,-46.968933532484776,15
