episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.25242042541503906,-84.0280454129702,0
2,100,100,0.31119799613952637,-74.60739363708173,0
3,200,200,0.39035701751708984,-82.00658813150338,0
4,300,300,0.452242374420166,-79.73690058885674,0
5,400,400,0.5088827610015869,-81.90279954033544,0
6,500,500,0.5582442283630371,-85.84042113109982,0
7,600,600,0.6042296886444092,-90.09980720158602,0
8,700,700,0.6586902141571045,-81.52881624406236,0
9,800,800,59.54843854904175,-127.44373329498787,11
10,900,900,70.24800610542297,-75.61294142199695,13
11,1000,1000,82.31765174865723,-97.04930595289744,14
12,1100,1100,97.3926420211792,-80.00252729917635,14
13,1200,1200,108.69061660766602,-68.19924672893256,15
14,1300,1300,123.45291113853455,-77.49111163915184,15
15,1400,1400,136.01710152626038,-75.8122091781366,15
16,1500,1500,149.64824867248535,-85.12853768989946,13
17,1600,1600,166.44954991340637,-86.15393914439773,13
18,1700,1700,183.78399682044983,-81.8786676866618,14
19,1800,1800,203.6702437400818,-63.0900005528917,16
20,1900,1900,221.39194774627686,-61.31116836671186,15
21,2000,2000,242.65633916854858,-66.14366312956165,16
22,2100,2100,263.4251706600189,-63.80668389727948,15
23,2200,2200,282.23252844810486,-60.46894667062454,15
24,2300,2300,305.89568066596985,-61.758790063582545,17
25,2400,2400,329.09675002098083,-57.079451738999,16
26,2500,2500,348.2947008609772,-55.667783857895515,0
27,2600,2600,368.18548607826233,-75.368427967406,0
28,2700,2700,386.62008118629456,-60.601496995669685,0
29,2800,2800,408.81504678726196,-53.68857285766417,0
30,2900,2900,429.21658968925476,-57.39208270815001,0
31,3000,3000,451.9864127635956,-68.403130219632,0
