episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2900881767272949,-81.39157754459579,256
2,100,100,0.3458719253540039,-80.51169851930267,256
3,200,200,0.3961806297302246,-87.18426789108172,256
4,300,300,0.45317530632019043,-88.77019695822001,256
5,400,400,0.5166983604431152,-84.9599661922124,256
6,500,500,0.5702164173126221,-88.75785052127375,256
7,600,600,0.6220574378967285,-83.70079751393618,256
8,700,700,0.671367883682251,-85.03512067484557,256
9,800,800,80.61820912361145,-119.1855463861528,256
10,900,900,108.26914310455322,-81.44194279269648,256
11,1000,1000,136.9922580718994,-80.25219045067742,256
12,1100,1100,166.57092428207397,-70.4145381771099,256
13,1200,1200,196.77821254730225,-73.75348906674795,256
14,1300,1300,227.3421595096588,-75.39674135219131,256
15,1400,1400,257.270893573761,-71.05641625933677,256
16,1500,1500,289.271968126297,-76.59809841217246,256
17,1600,1600,320.568359375,-65.65491048469873,256
18,1700,1700,352.4728112220764,-62.863195722152064,256
19,1800,1800,384.98733711242676,-61.42244240052985,256
20,1900,1900,417.95279574394226,-61.30035058132481,256
21,2000,2000,452.0511384010315,-65.53048524335163,256
22,2100,2100,486.95620465278625,-63.497027529348735,256
23,2200,2200,521.504312992096,-66.80130548785539,256
24,2300,2300,557.167106628418,-62.3269372098166,256
25,2400,2400,592.4459969997406,-63.43106455741195,256
26,2500,2500,628.3554084300995,-64.34867216232918,256
27,2600,2600,664.6205668449402,-64.35052150488642,256
28,2700,2700,702.5865182876587,-63.56659749548308,256
29,2800,2800,740.5570287704468,-62.05457422618844,256
30,2900,2900,778.5274951457977,-62.11620698630739,256
31,3000,3000,817.738691329956,-61.976778380059166,256
