episode,step,env_step,total_time,episode_reward
1,0,0,0.3032400608062744,-84.0280454129702
2,100,100,0.38077449798583984,-74.60739363708173
3,200,200,0.45117974281311035,-82.00658813150338
4,300,300,0.5063662528991699,-79.73690058885674
5,400,400,56.690054416656494,-132.61902188907078
6,500,500,84.61169743537903,-110.80365056677063
7,600,600,111.95531296730042,-98.00265547728388
8,700,700,138.18625283241272,-77.32350891207832
9,800,800,164.29441261291504,-73.53719348046802
10,900,900,192.60888266563416,-65.43405399233544
11,1000,1000,220.58964204788208,-63.48594924077652
12,1100,1100,248.22603297233582,-64.11809252278596
13,1200,1200,276.5576696395874,-62.07048795823423
14,1300,1300,303.2803535461426,-64.55681232252061
15,1400,1400,329.73778104782104,-60.5135774024031
16,1500,1500,356.2865869998932,-58.32346895798157
17,1600,1600,382.3973021507263,-52.82020626760272
18,1700,1700,408.61983275413513,-58.931593107965774
19,1800,1800,434.732488155365,-52.22195363287659
20,1900,1900,463.41199707984924,-55.15890354852376
21,2000,2000,491.6300480365753,-58.24498442750801
22,2100,2100,519.859689950943,-50.911022580539665
23,2200,2200,548.4323029518127,-49.90492384938151
24,2300,2300,576.067298412323,-49.11116172806097
25,2400,2400,603.814110994339,-48.047020922917575
26,2500,2500,630.9590570926666,-49.70973002874288
27,2600,2600,658.7826693058014,-46.805748475748395
28,2700,2700,688.2302136421204,-47.455291822795104
29,2800,2800,720.0293920040131,-51.40619898396155
30,2900,2900,750.7462201118469,-46.421924300508806
31,3000,3000,780.8568940162659,-50.58952401495654
