episode,step,env_step,total_time,episode_reward
1,0,0,0.2910041809082031,-78.34414959392807
2,100,100,0.36630940437316895,-75.39560209902504
3,200,200,0.41902852058410645,-84.22581250361536
4,300,300,0.4658353328704834,-79.69829538345192
5,400,400,28.021729469299316,-97.30230352429703
6,500,500,38.379584312438965,-106.88052829981689
7,600,600,48.35527944564819,-75.71047350581549
8,700,700,58.82044792175293,-71.81071892494333
9,800,800,70.4675042629242,-65.6712873945442
10,900,900,81.40262198448181,-55.170201691255166
11,1000,1000,92.77438831329346,-62.43718894204677
12,1100,1100,103.23722004890442,-61.74426707275952
13,1200,1200,113.09165787696838,-59.44578039897779
14,1300,1300,122.99727940559387,-53.64605217207066
15,1400,1400,133.12936425209045,-51.575121020366936
16,1500,1500,143.17735481262207,-60.4626198022337
17,1600,1600,153.20299625396729,-46.175278736047396
18,1700,1700,163.36350917816162,-44.31329739312989
19,1800,1800,173.41055631637573,-52.446872312696534
20,1900,1900,183.4435636997223,-49.68943441301206
21,2000,2000,193.49741554260254,-48.84232530654761
22,2100,2100,203.63193607330322,-49.260046816613034
23,2200,2200,213.50336003303528,-45.461669609470974
24,2300,2300,223.35111451148987,-45.13769365197143
25,2400,2400,233.4516944885254,-48.729417802499675
26,2500,2500,243.3586184978485,-44.16177163876294
27,2600,2600,253.3003270626068,-45.59451319405139
28,2700,2700,263.3651204109192,-45.435042560510446
29,2800,2800,273.1158790588379,-43.38597993994366
30,2900,2900,283.713636636734,-43.73945352378388
31,3000,3000,294.3344554901123,-44.12818541950616
32,3100,3100,304.30778789520264,-44.0068480851987
33,3200,3200,314.172025680542,-43.71510311589601
34,3300,3300,323.99111580848694,-44.27610445013485
35,3400,3400,333.91877794265747,-42.382946643962434
36,3500,3500,343.73034739494324,-41.64821720919649
37,3600,3600,353.74623680114746,-42.63677774739607
38,3700,3700,363.98356771469116,-42.16108850617225
39,3800,3800,373.72923016548157,-43.55355966632601
40,3900,3900,383.6276590824127,-42.526708144204186
41,4000,4000,393.73273181915283,-45.02927893224009
42,4100,4100,403.88244676589966,-41.99876577990928
43,4200,4200,414.09245920181274,-77.11576198912623
44,4300,4300,424.06439876556396,-43.688656935560815
45,4400,4400,434.3167071342468,-43.628670027571
46,4500,4500,444.1604104042053,-45.27275270574233
47,4600,4600,454.1811866760254,-42.3172437803632
48,4700,4700,464.1178481578827,-47.68768307220615
49,4800,4800,474.32481718063354,-43.41597587080231
50,4900,4900,484.3025724887848,-46.20674903236084
51,5000,5000,494.1526188850403,-43.61741411519537
