episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2630503177642822,-72.13601735453092,0
2,100,100,0.3498353958129883,-69.22335337364804,0
3,200,200,0.4007251262664795,-82.33018750532376,0
4,300,300,0.4458780288696289,-83.84240829488296,0
5,400,400,0.4900782108306885,-78.36757906111622,0
6,500,500,0.537153959274292,-68.25993585102876,0
7,600,600,0.5863871574401855,-72.36177017958795,0
8,700,700,0.633486270904541,-71.83379939561364,0
9,800,800,48.17919635772705,-126.60586764281253,0
10,900,900,58.04955792427063,-62.67349495914256,0
11,1000,1000,67.74354720115662,-56.849296785309654,0
12,1100,1100,77.32422924041748,-59.76148828330029,0
13,1200,1200,87.23111939430237,-60.08735852765636,0
14,1300,1300,97.03689908981323,-58.92948687348838,0
15,1400,1400,106.63613486289978,-52.14484504587109,0
16,1500,1500,116.4705262184143,-47.57538082160259,0
17,1600,1600,126.49105882644653,-45.87091309952931,0
18,1700,1700,136.73195838928223,-50.43980767984788,0
19,1800,1800,146.56559991836548,-43.270622388057284,0
20,1900,1900,156.3489773273468,-43.602204336440494,0
21,2000,2000,166.20855021476746,-42.04299139112225,0
22,2100,2100,176.15119123458862,-39.52429843842396,0
23,2200,2200,186.86119747161865,-40.12384218386555,0
24,2300,2300,196.99264574050903,-37.86926328226724,0
25,2400,2400,206.82768750190735,-36.23008781814603,0
26,2500,2500,216.88699913024902,-36.29493339699143,0
27,2600,2600,226.56281161308289,-34.99660585821365,0
28,2700,2700,236.21380758285522,-43.67048641279431,0
29,2800,2800,246.09105491638184,-42.85125804023562,0
30,2900,2900,255.8454451560974,-35.75258201323618,0
31,3000,3000,265.49907541275024,-40.50874743245633,0
