episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.31414055824279785,-87.98578777147219,256
2,100,100,0.3903775215148926,-72.95639170480887,256
3,200,200,0.43685388565063477,-65.24662099554943,256
4,300,300,0.4797074794769287,-71.95372453902907,256
5,400,400,0.5213680267333984,-81.13677190672931,256
6,500,500,0.5679984092712402,-77.60422413984368,256
7,600,600,0.6104204654693604,-76.82765744764805,256
8,700,700,0.6601910591125488,-72.6979739557971,256
9,800,800,81.03090834617615,-124.75493573047382,256
10,900,900,109.4823169708252,-61.196260899522045,256
11,1000,1000,138.63268566131592,-58.4929259415204,256
12,1100,1100,167.53857135772705,-53.103734051409354,256
13,1200,1200,197.36290669441223,-55.14933753668293,256
14,1300,1300,227.53444743156433,-47.79105256668734,256
15,1400,1400,258.03833961486816,-55.55165985297702,256
16,1500,1500,289.486279964447,-47.25770859289764,256
17,1600,1600,321.45342683792114,-48.130026812948,256
18,1700,1700,354.1488788127899,-44.974971423211755,256
19,1800,1800,386.07538390159607,-42.75783782782358,256
20,1900,1900,419.1265821456909,-41.32947372440186,256
21,2000,2000,452.5141270160675,-38.903478319064156,256
22,2100,2100,486.3813543319702,-39.56333965228431,256
23,2200,2200,520.5017974376678,-36.798443333549784,256
24,2300,2300,555.9935483932495,-39.5272807562769,256
25,2400,2400,591.7755966186523,-73.47124100390565,256
26,2500,2500,627.5885589122772,-41.669695607029915,256
27,2600,2600,664.0425326824188,-40.37502313540261,256
28,2700,2700,701.1652109622955,-40.46185172883669,256
29,2800,2800,738.2993712425232,-39.22710615787829,256
30,2900,2900,776.3614449501038,-38.51265184348499,256
31,3000,3000,815.3588578701019,-39.40354684113323,256
