episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.24919700622558594,-87.98578777147219,256
2,100,100,0.3086674213409424,-72.95639170480887,256
3,200,200,0.3511343002319336,-65.24662099554943,256
4,300,300,0.39704060554504395,-71.95372453902907,256
5,400,400,0.4459414482116699,-81.13677190672931,256
6,500,500,0.49721455574035645,-77.60422413984368,256
7,600,600,0.5443906784057617,-76.82765744764805,256
8,700,700,0.5896923542022705,-72.6979739557971,256
9,800,800,87.60016322135925,-124.75493573047382,49
10,900,900,105.71813654899597,-67.81607968565204,60
11,1000,1000,124.32320499420166,-63.37245339681693,65
12,1100,1100,142.9267861843109,-48.978632414540996,57
13,1200,1200,161.82285833358765,-46.997578267006794,61
14,1300,1300,180.7231297492981,-68.22371353285646,65
15,1400,1400,199.63932013511658,-48.58174909719418,59
16,1500,1500,218.62872409820557,-65.28195065319957,55
17,1600,1600,237.35396194458008,-60.92240956061486,53
18,1700,1700,256.4675009250641,-58.55091732929905,56
19,1800,1800,276.2877130508423,-41.51275851390546,48
20,1900,1900,297.3303279876709,-67.366328643594,54
21,2000,2000,318.17336678504944,-44.71707408246817,53
22,2100,2100,339.4521312713623,-53.20863909313994,51
23,2200,2200,359.7184040546417,-41.549213798700144,49
24,2300,2300,380.48247051239014,-41.25099098206403,46
25,2400,2400,400.50019884109497,-39.50244742924563,45
26,2500,2500,420.25828647613525,-45.139984321003496,42
27,2600,2600,440.163672208786,-45.053752914659505,42
28,2700,2700,460.02903389930725,-40.506716012980355,42
29,2800,2800,480.1196098327637,-52.80760037429863,40
30,2900,2900,500.267459154129,-44.899516464736266,38
31,3000,3000,521.5862293243408,-43.013295699343054,37
