episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.27258920669555664,-81.39157754459579,256
2,100,100,0.33949851989746094,-80.51169851930267,256
3,200,200,0.3994309902191162,-87.18426789108172,256
4,300,300,0.4478020668029785,-88.77019695822001,256
5,400,400,0.4922165870666504,-84.9599661922124,256
6,500,500,0.5403985977172852,-88.75785052127375,256
7,600,600,0.593785285949707,-83.70079751393618,256
8,700,700,0.6421525478363037,-85.03512067484557,256
9,800,800,75.24176669120789,-119.1855463861528,16
10,900,900,92.17234206199646,-73.31971926140585,16
11,1000,1000,108.54513025283813,-84.58114151608498,15
12,1100,1100,125.46599960327148,-69.66390897180328,15
13,1200,1200,142.312486410141,-72.83755623473195,15
14,1300,1300,159.16629815101624,-71.02779120214906,16
15,1400,1400,175.35223531723022,-66.32169824566404,15
16,1500,1500,192.20582056045532,-62.144920685713856,16
17,1600,1600,208.7145960330963,-63.07166817377448,15
18,1700,1700,225.6441135406494,-67.68018862041876,15
19,1800,1800,242.00423669815063,-62.6276405256465,14
20,1900,1900,259.3385183811188,-60.68846424294804,15
21,2000,2000,275.6407117843628,-62.455317987493764,15
22,2100,2100,292.553719997406,-58.90274000455315,14
23,2200,2200,308.94512701034546,-56.15258999490787,15
24,2300,2300,326.9520914554596,-55.06851060071015,13
25,2400,2400,344.81063961982727,-56.29950110778313,13
26,2500,2500,363.6175174713135,-53.94600540437659,12
27,2600,2600,382.06935238838196,-56.30630069170254,14
28,2700,2700,399.5263559818268,-58.30044753246534,14
29,2800,2800,417.4034547805786,-54.36873582211848,13
30,2900,2900,434.8780469894409,-54.58146534141618,15
31,3000,3000,452.91948342323303,-53.722238321778704,14
